unique_id,comp_id,trial_id,comparison_label,arm_id,arm_label
1,manaug24c1,NCT04170998,evogliptin_placebo,updac0060,evogliptin
2,manaug24c1,NCT04170998,evogliptin_placebo,updac0061,placebo
