nct_id,nct_id2,models,r.squared,adj.r.squared,sigma,statistic,p.value,df,logLik,AIC,BIC,deviance,df.residual,nobs
NCT01648582,NCT01648582,f6,0.2905,0.2831,1.009,39.16,2.252e-52,8,-1101,2222,2268,779.4,765,774
NCT01558271,NCT01558271,f6,0.4876,0.4792,0.7506,57.46,2.054e-65,8,-552.4,1125,1167,272.1,483,492
NCT02750410,NCT02750410,f6,0.348,0.3267,0.712,16.33,6.794e-13,5,-168.5,351.1,372.6,77.57,153,159
NCT01768559,NCT01768559,f6,0.1117,0.1067,0.7298,22.28,4.403e-21,5,-981.7,1977,2011,471.9,886,892
NCT00975286,NCT00975286,f6,0.2109,0.2014,0.7578,22.29,8.162000000000001e-20,5,-479.9,973.8,1002,239.5,417,423
NCT01632007,NCT01632007,f6,0.5095,0.4929,0.713,30.64,1.2170000000000001e-32,8,-260.2,540.4,575.4,120,236,245
NCT01619059,NCT01619059,f6,0.4944,0.4858,0.6893,57.51,1.359e-41,5,-311,636.1,662,139.7,294,300
NCT00819091,NCT00819091,f7,0.3647,0.351,0.8491,26.64,3.006e-21,5,-295.7,605.5,629.8,167.3,232,238
NCT00800683,NCT00800683,f7,0.4254,0.4022,0.855,18.36,1.311e-13,5,-161,336,356.1,90.64,124,130
NCT00740051,NCT00740051,f7,0.07998,0.05917,1.16,3.843,0.002334,5,-352.7,719.5,743.4,297.3,221,227
NCT00996658,NCT00996658,f7,0.1765,0.161,1.041,11.4,5.564e-10,5,-393.9,801.7,827,288.3,266,272
NCT01084005,NCT01084005,f7,0.4315,0.4194,0.5711,35.68,4.245e-27,5,-203.9,421.9,446.2,76.65,235,241
NCT01087502,NCT01087502,f7,0.5875,0.5785,0.6993,65.24,3.902e-42,5,-246.4,506.7,530.9,112,229,235
NCT01194830,NCT01194830,f7,0.2518,0.234,1.108,14.14,6.387e-12,5,-325.6,665.3,688.9,257.9,210,216
NCT02182830,NCT02182830,f7,0.2715,0.2484,1.155,11.78,1.09e-9,5,-253.3,520.6,542.3,210.9,158,164
NCT02453555,NCT02453555,f7,0.1372,0.1211,0.7582,8.554,1.556e-7,5,-311,636.1,661.4,154.6,269,275
NCT00763451,NCT00763451,f7,0.1257,0.1109,0.9566,8.502,7.801e-11,8,-658,1336,1378,432.8,473,482
NCT00976937,NCT00976937,f7,0.2583,0.246,1.061,21.03,4.851e-18,5,-452.1,918.3,944.4,339.7,302,308
NCT00866658,NCT00866658,f7,0.252,0.2397,1.091,20.49,1.255e-17,5,-463.9,941.8,967.9,361.9,304,310
NCT01169779,NCT01169779,f7,0.1992,0.1887,0.9125,19.1,5.6e-17,5,-514.6,1043,1071,319.7,384,390
NCT01632163,NCT01632163,f7,0.1121,0.09402,1.071,6.189,2.01e-5,5,-370.3,754.6,779.2,280.9,245,251
NCT01798706,NCT01798706,f7,0.305,0.2941,0.8655,27.99,1.662e-23,5,-411.2,836.3,862.8,238.9,319,325
NCT00712673,NCT00712673,f7,0.1263,0.1159,1.014,12.13,2.885e-16,8,-969.6,1959,2004,689.4,671,680
NCT00713830,NCT00713830,f7,0.1646,0.1597,0.9942,33.58,2.3809999999999997e-31,5,-1209,2433,2466,842.2,852,858
NCT00715624,NCT00715624,f7,0.2041,0.196,1.187,25.03,1.7459999999999998e-22,5,-782.5,1579,1608,687.3,488,494
NCT00763815,NCT00763815,f7,0.05208,0.04217,1.038,5.253,1.045e-4,5,-701.9,1418,1447,515.3,478,484
NCT00688701,NCT00688701,f7,0.3018,0.2859,1.01,19.02,9.369e-24,8,-511.1,1042,1081,358.7,352,361
NCT00707031,NCT00707031,f7,0.1791,0.1725,0.9296,27.4,4.017e-25,5,-850.3,1715,1746,542.7,628,634
NCT01648582,NCT01648582,f7,0.2897,0.2823,1.01,39.01,3.483e-52,8,-1101,2223,2269,780.3,765,774
NCT01558271,NCT01558271,f7,0.4775,0.4689,0.7579,55.18,2.1750000000000002e-63,8,-557.2,1134,1176,277.5,483,492
NCT02750410,NCT02750410,f7,0.348,0.3267,0.712,16.33,6.788e-13,5,-168.5,351.1,372.6,77.56,153,159
NCT01768559,NCT01768559,f7,0.1126,0.1076,0.7294,22.49,2.7790000000000002e-21,5,-981.3,1977,2010,471.4,886,892
NCT00975286,NCT00975286,f7,0.1959,0.1863,0.765,20.32,3.68e-18,5,-483.9,981.7,1010,244,417,423
NCT01632007,NCT01632007,f7,0.5049,0.4882,0.7163,30.09,3.5480000000000003e-32,8,-261.3,542.6,577.6,121.1,236,245
