term,estimate,std.error,statistic,p.value,overall_r
(Intercept),67.4084285397764,13.64770132298123,4.939178176933576,3.4255965827550896e-4,0.9990656468079996
fu_median,0.8708492409885055,0.010874953122819145,80.07843630711236,9.587132753889879e-18,0.9990656468079996
