tosep,params,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,rhat
m07_aggipd_random_mono_f8_ge12,mu[ChiCTR-IPR-16008578],4.192241703587263,0.17069370054960156,0.7087294870035421,2.9182611758944073,3.7042870278816844,4.158996394848533,4.615331889296144,5.734621342762231,17.239553628420506,1.2070654155950873
m07_aggipd_random_mono_f8_ge12,mu[ChiCTR-IPR-17011120],-0.08394940805544565,0.14792344913397823,0.9243805288930136,-1.836627980308841,-0.7440918444947615,-0.1275610136886603,0.5227809178940894,1.7536842586627719,39.05058357981546,1.142525199267762
m07_aggipd_random_mono_f8_ge12,mu[NCT00099866],0.06850668722804296,0.21770453790192915,0.818530160500684,-1.56692928486106,-0.5114809334733137,0.09988637103690114,0.6951495620096915,1.4739625337605546,14.136256269773549,1.2950239656609603
m07_aggipd_random_mono_f8_ge12,mu[NCT00099918],-0.2672818503292715,0.4649894631734057,1.0692709960086215,-2.6918813475261927,-0.864050756607545,-0.3775715900763571,0.46392047534072156,2.013447418852148,5.28797447332792,1.9382909026283208
m07_aggipd_random_mono_f8_ge12,mu[NCT00110240],-0.26875455990319785,0.2824888987944877,0.8557020373246726,-2.0012291732076584,-0.8427467042779586,-0.3271114839206374,0.3193472366265263,1.2630955905893577,9.175766655132003,1.3640175078658952
m07_aggipd_random_mono_f8_ge12,mu[NCT00138567],0.06890492071326695,0.2523416850823164,0.9504706818279592,-1.6436750720396625,-0.5948864928753984,0.0641641867471207,0.6546230425022467,2.0763898301567836,14.187290211848769,1.2832060956355957
m07_aggipd_random_mono_f8_ge12,mu[NCT00294723],0.8762786532498038,0.42796465943734396,1.001141700431285,-1.0012439484690538,0.07421690440938554,0.8079230710375124,1.7982904459027276,2.48927173554789,5.472367919491904,1.907940378971196
m07_aggipd_random_mono_f8_ge12,mu[NCT00351832],0.49584025443915075,0.0017010104130200183,0.014961653534473724,0.46494605184606513,0.48612797489940895,0.4963231156315484,0.5059506316629988,0.5239362526010755,77.36512699426638,1.0584699908799775
m07_aggipd_random_mono_f8_ge12,mu[NCT00368134],0.8423691172048113,0.16148337881014055,0.8625607627733982,-1.1125335485924173,0.3326246290485158,0.8965540289836476,1.4252652914460757,2.5212189147550457,28.53144329055629,1.1716001327216106
m07_aggipd_random_mono_f8_ge12,mu[NCT00383578],-0.2356506559937239,0.16684425876277242,0.8507800375408233,-1.9705598300518403,-0.7124131396871326,-0.15444421964063454,0.34721900425475133,1.2120005253511823,26.0023170071455,1.0730277139102977
m07_aggipd_random_mono_f8_ge12,mu[NCT00393718],4.767637143979633,0.23961025547463552,1.086656483861208,2.649661897719678,3.9941821105492643,4.703347408417887,5.521434491174546,6.9781510088443675,20.567132549729077,1.2192267755967523
m07_aggipd_random_mono_f8_ge12,mu[NCT00411554],0.9364664021437868,0.3314698149533564,1.2398894324040048,-1.4580263573420094,0.01740211466117935,0.9964177639021354,1.810376625251168,3.116051032425829,13.991940361094377,1.367619543185677
m07_aggipd_random_mono_f8_ge12,mu[NCT00449930],1.404824650478232,0.2482355596757583,0.7183300677773428,0.046267744882831814,0.8882993257471856,1.3774451648292412,1.9442181830935292,2.7342845676932335,8.373752154808743,1.2937544784945934
m07_aggipd_random_mono_f8_ge12,mu[NCT00509236],0.22334474315129557,0.5694675973608906,1.081807429517488,-1.4000959602176766,-0.6336464181563862,0.03939495936471395,0.9825484420073529,2.3291141797780752,3.6087922697450843,1.7149738669781873
m07_aggipd_random_mono_f8_ge12,mu[NCT00509262],0.5970448267357881,0.3301399248612447,0.9887936628923012,-1.2313979423710395,-0.24476120567288961,0.7293745679466787,1.4202283677188177,2.1772142256608857,8.970471124621904,1.3649413178677954
m07_aggipd_random_mono_f8_ge12,mu[NCT00676338],-0.2308233592721278,0.32353252285794576,0.9821072460570694,-2.0440600914280824,-0.940210904818142,-0.19178606040909218,0.4989969312404632,1.5260743353837194,9.214715730419288,1.3616090197753756
m07_aggipd_random_mono_f8_ge12,mu[NCT00707993],5.489603266985377,0.1383668836871843,0.885629635302449,3.7297329828429953,4.872632678226463,5.55025416180032,6.1209513697804,7.156192393672636,40.96754709716619,1.1230222195462771
m07_aggipd_random_mono_f8_ge12,mu[NCT00957060],5.421271069906262,0.3483236502072623,0.936608512338083,3.7888220491719844,4.7784249843944755,5.346788648355259,5.953953915139005,7.436080186171039,7.230199410180431,1.4929443562675717
m07_aggipd_random_mono_f8_ge12,mu[NCT01126580],4.338770770568628,0.12548212715592313,0.5252083470704596,3.369585366301447,3.9668942413318216,4.329887182577285,4.705689194709365,5.372007050620911,17.51860396901253,1.2058550229867038
m07_aggipd_random_mono_f8_ge12,mu[NCT01147627],-1.1691218724167824,0.4377819549991472,1.3923586896152007,-3.9450796450290917,-2.0304933473895455,-1.1107117693956736,-0.300942630013415,1.6152249079286278,10.115481180491662,1.2626564862900465
m07_aggipd_random_mono_f8_ge12,mu[NCT01183104],0.8228858338596733,0.4164618122722879,1.1157426230097454,-1.2469268447951378,-0.03708893340824214,0.8868214019421434,1.6152832048121564,2.968128381734345,7.17757400200818,1.5717759839873597
m07_aggipd_random_mono_f8_ge12,mu[NCT01189890],1.1540273910787568,0.2070443140301573,0.8393833810110928,-0.3434550287320802,0.5307861938392915,1.1746384051537024,1.7141626405475254,2.8217813897929447,16.435923695914894,1.2620342048104105
m07_aggipd_random_mono_f8_ge12,mu[NCT01422876],5.712831637639948,0.1483712319362548,0.5046371024656184,4.558822988710668,5.441180240083257,5.770829514147875,6.046492035023023,6.5896930313891255,11.568017865655698,1.4735643931166742
