nct_id,nct_id2,models,term,estimate,std.error,outcome_method,outcome
NCT01098539,NCT01098539,b1,sex:arm_f_2_uaa10566,1.176,1.251,bocf,hba1c
NCT01098539,NCT01098539,b1,age10:arm_f_2_uaa10566,0.028,0.148,bocf,hba1c
NCT01098539,NCT01098539,b1,sex:age10:arm_f_2_uaa10566,-0.171,0.196,bocf,hba1c
NCT01128894,NCT01128894,b1,(Intercept),8.972,0.362,bocf,hba1c
NCT01128894,NCT01128894,b1,sex,0.226,0.478,bocf,hba1c
NCT01128894,NCT01128894,b1,age10,-0.145,0.064,bocf,hba1c
NCT01128894,NCT01128894,b1,arm_f_2_uaa10601,-0.302,0.485,bocf,hba1c
NCT01128894,NCT01128894,b1,sex:age10,-0.039,0.084,bocf,hba1c
NCT01128894,NCT01128894,b1,sex:arm_f_2_uaa10601,0.411,0.666,bocf,hba1c
NCT01128894,NCT01128894,b1,age10:arm_f_2_uaa10601,0.055,0.086,bocf,hba1c
NCT01128894,NCT01128894,b1,sex:age10:arm_f_2_uaa10601,-0.069,0.118,bocf,hba1c
NCT01733758,NCT01733758,b1,(Intercept),10.61,0.781,bocf,hba1c
NCT01733758,NCT01733758,b1,sex,-2.02,0.975,bocf,hba1c
NCT01733758,NCT01733758,b1,age10,-0.428,0.129,bocf,hba1c
NCT01733758,NCT01733758,b1,arm_f_2_uaa10899,-1.968,1.177,bocf,hba1c
NCT01733758,NCT01733758,b1,arm_f_2_uaa10900,-1.536,1.094,bocf,hba1c
NCT01733758,NCT01733758,b1,arm_f_2_uaa10901,-4.87,1.47,bocf,hba1c
NCT01733758,NCT01733758,b1,sex:age10,0.352,0.164,bocf,hba1c
NCT01733758,NCT01733758,b1,sex:arm_f_2_uaa10899,2.08,1.4,bocf,hba1c
NCT01733758,NCT01733758,b1,sex:arm_f_2_uaa10900,1.786,1.324,bocf,hba1c
NCT01733758,NCT01733758,b1,sex:arm_f_2_uaa10901,5.216,1.66,bocf,hba1c
