nct_id,arm_id_unq,sex,participants,mean,sd,Number of quantiles,epsilon,Age (years) at quantiles (%)
NCT01708902,uaa10877,male,92,51.7,10.4,5,0.07,"0=22, 14=42, 34=49, 81=59, 100=75"
NCT01708902,uaa10876,female,53,52,9.9,5,0.08,"0=22, 10=42, 60=56, 87=59, 100=75"
NCT01708902,uaa10875,male,93,50.5,10.2,8,0.05,"0=29, 24=44, 40=49, 48=49, 80=60, 86=60, 98=68, 100=78"
NCT01064687,uaa10529,male,163,56.9,9.7,6,0.05,"0=28, 8=45, 40=55, 83=66, 97=74, 100=81"
NCT01064687,uaa10531,male,83,55,10.2,5,0.08,"0=28, 5=40, 21=48, 89=66, 100=79"
NCT01064687,uaa10527,female,112,55.3,9.3,9,0.05,"0=32, 13=45, 26=50, 37=51, 53=57, 62=58, 88=66, 99=71, 100=76"
NCT01064687,uaa10531,female,58,53.9,9.8,5,0.060000000000000005,"0=22, 9=43, 25=49, 91=65, 100=72"
NCT01064687,uaa10527,male,168,56.1,9.6,5,0.08,"0=20, 14=47, 28=53, 88=65, 100=86"
NCT01064687,uaa10530,male,157,55.7,9.9,5,0.060000000000000005,"0=28, 4=41, 26=50, 85=66, 100=80"
NCT01064687,uaa10530,female,121,55.2,10.5,5,0.07,"0=26, 15=45, 45=56, 83=64, 100=78"
NCT01064687,uaa10529,female,116,55.3,9.7,5,0.060000000000000005,"0=29, 17=48, 69=62, 82=64, 100=72"
NCT01126580,uaa10596,female,147,55.5,10.5,5,0.07,"0=27, 8=41, 22=48, 88=67, 100=78"
NCT01126580,uaa10593,female,152,55.2,10.8,5,0.05,"0=29, 17=45, 80=64, 89=68, 100=78"
NCT01126580,uaa10596,male,121,55,9.6,5,0.05,"0=34, 2=40, 12=44, 88=65, 100=79"
NCT01126580,uaa10595,male,114,56.9,9.4,5,0.060000000000000005,"0=38, 19=49, 73=61, 98=75, 100=84"
NCT01126580,uaa10595,female,155,54.5,10.9,5,0.060000000000000005,"0=25, 16=44, 44=54, 86=65, 100=81"
NCT01126580,uaa10593,male,118,56.8,10.6,5,0.060000000000000005,"0=31, 13=45, 77=65, 97=73, 100=79"
NCT01624259,uaa10829,female,161,56.6,9.4,5,0.060000000000000005,"0=19, 10=46, 25=52, 76=63, 100=74"
NCT01624259,uaa10829,male,138,56.4,9.3,5,0.08,"0=28, 5=41, 23=51, 74=61, 100=74"
NCT01624259,uaa10830,female,151,56.6,10.7,5,0.05,"0=28, 11=43, 23=50, 82=66, 100=80"
NCT01624259,uaa10830,male,149,57,9.1,5,0.060000000000000005,"0=35, 12=46, 30=54, 91=68, 100=79"
NCT01769378,uaa10919,male,105,57.6,10.1,5,0.060000000000000005,"0=35, 12=46, 33=54, 88=68, 100=81"
NCT01769378,uaa10920,female,32,59.6,5.9,5,0.08,"0=45, 19=56, 45=58, 94=67, 100=74"
NCT01769378,uaa10919,female,135,57.9,10.3,5,0.060000000000000005,"0=23, 10=45, 20=50, 73=64, 100=79"
NCT01769378,uaa10920,male,28,56.7,8.6,6,0.07,"0=41, 19=49, 30=51, 52=58, 93=67, 100=75"
NCT02152371,uaa11060,female,65,62.3,9.3,5,0.060000000000000005,"0=37, 5=46, 22=57, 83=70, 100=79"
NCT02152371,uaa11060,male,85,58.5,9.3,6,0.09,"0=34, 23=54, 58=60, 75=66, 83=66, 100=78"
NCT02152371,uaa11061,male,88,60.3,11,5,0.07,"0=28, 2=39, 23=54, 93=73, 100=83"
NCT02152371,uaa11061,female,62,61,8.6,5,0.08,"0=36, 5=49, 39=60, 95=71, 100=77"
NCT02597049,uaa11176,female,65,55.4,9,5,0.08,"0=34, 12=46, 34=53, 88=64, 100=74"
NCT02597049,uaa11175,male,69,59.1,9.6,6,0.07,"0=38, 25=54, 32=54, 53=62, 88=69, 100=78"
NCT02597049,uaa11176,male,77,56.8,9.5,6,0.07,"0=25, 1=39, 14=48, 41=56, 86=65, 100=76"
NCT02597049,uaa11177,male,66,56.1,9.2,5,0.08,"0=36, 15=47, 45=57, 86=65, 100=75"
NCT02597049,uaa11175,female,73,58,8.7,6,0.07,"0=30, 1=41, 15=50, 43=58, 64=61, 100=72"
NCT02597049,uaa11177,female,74,58,9.9,5,0.07,"0=31, 19=51, 81=66, 96=72, 100=79"
NCT00707993,uaa10321,female,123,69.6,3.7,7,0.09999999999999999,"0=65, 12=65, 34=68, 48=68, 58=69, 89=74, 100=80"
NCT00707993,uaa10320,male,102,70,4.5,5,0.10999999999999999,"0=65, 16=65, 48=68, 84=74, 100=86"
NCT00707993,uaa10320,female,120,70.1,4.3,5,0.09999999999999999,"0=65, 12=65, 70=71, 94=77, 100=84"
NCT00707993,uaa10321,male,96,70,4.6,5,0.13999999999999999,"0=65, 14=66, 28=66, 82=73, 100=87"
NCT00856284,uaa10405,female,433,55.4,9.5,6,0.060000000000000005,"0=21, 2=38, 12=45, 56=58, 81=63, 100=77"
NCT00856284,uaa10403,male,419,55.3,9.7,5,0.07,"0=28, 12=44, 37=53, 86=65, 100=79"
NCT00856284,uaa10403,female,461,55.1,9.5,5,0.07,"0=25, 13=45, 37=53, 82=63, 100=78"
NCT00856284,uaa10404,female,433,55.4,9.8,6,0.060000000000000005,"0=26, 15=46, 29=51, 77=62, 91=68, 100=78"
NCT00856284,uaa10405,male,441,55.5,9.7,5,0.05,"0=23, 2=36, 14=46, 86=65, 100=79"
NCT00856284,uaa10404,male,452,55.6,9.8,7,0.05,"0=26, 1=36, 12=44, 22=49, 58=57, 88=67, 100=80"
NCT01289119,uaa10711,female,118,53.8,9.2,6,0.07,"0=31, 19=47, 80=61, 85=65, 94=66, 100=74"
NCT01289119,uaa10716,female,113,55.5,8.6,5,0.08,"0=30, 5=43, 26=51, 78=61, 100=74"
NCT01289119,uaa10711,male,134,51.2,10.4,5,0.07,"0=23, 15=41, 37=49, 78=59, 100=70"
NCT01289119,uaa10716,male,141,50.7,9.6,9,0.060000000000000005,"0=25, 10=40, 26=46, 33=46, 37=47, 43=50, 61=53, 88=61, 100=73"
NCT00968708,uaa10453,female,874,63.2,9.9,5,0.08,"0=26, 7=49, 37=61, 92=76, 100=89"
NCT00968708,uaa10453,male,1836,60,9.8,5,0.060000000000000005,"0=30, 10=48, 85=70, 97=78, 100=89"
NCT00968708,uaa10454,male,1837,59.5,9.7,7,0.060000000000000005,"0=29, 8=47, 31=55, 74=65, 88=71, 98=78, 100=89"
NCT00968708,uaa10454,female,860,63.3,9.8,6,0.060000000000000005,"0=30, 10=51, 31=59, 44=61, 88=74, 100=89"
NCT00286429,uaa10053,male,55,56.9,10.4,7,0.07,"0=34, 9=46, 20=50, 41=53, 54=59, 69=61, 100=78"
NCT00286429,uaa10053,female,76,54.3,9.2,5,0.08,"0=24, 4=41, 19=48, 92=64, 100=77"
NCT00286429,uaa10055,female,68,54.3,10.5,7,0.07,"0=30, 31=52, 52=58, 60=58, 72=60, 88=64, 100=79"
NCT00286429,uaa10054,female,85,54.7,10.1,5,0.08,"0=27, 4=38, 20=48, 86=63, 100=79"
NCT00286429,uaa10054,male,44,58.2,10.1,7,0.05,"0=23, 5=43, 21=53, 60=63, 70=63, 74=64, 100=73"
NCT00286429,uaa10055,male,62,55.7,10.6,9,0.07,"0=27, 2=38, 13=45, 21=48, 26=49, 33=49, 51=57, 79=63, 100=80"
NCT01023581,uaa10495,female,60,53.8,11.1,6,0.07,"0=28, 22=48, 31=48, 34=51, 81=61, 100=79"
NCT01023581,uaa10493,male,62,55.3,11,15,0.05,"0=30, 26=51, 39=53, 44=55, 49=55, 54=57, 59=57, 61=58, 66=58, 70=61, 75=61, 80=62, 87=69, 95=71, 100=79"
NCT01023581,uaa10497,male,55,53.5,9.4,7,0.07,"0=32, 7=42, 59=57, 67=57, 80=59, 93=64, 100=79"
NCT01023581,uaa10497,female,54,52.6,9.9,5,0.09,"0=31, 13=44, 58=53, 91=64, 100=79"
NCT01023581,uaa10492,male,48,52.8,8.9,5,0.07,"0=27, 13=44, 60=57, 87=60, 100=70"
NCT01023581,uaa10491,male,63,52.7,9.2,8,0.060000000000000005,"0=29, 11=44, 50=54, 58=54, 65=55, 87=62, 98=68, 100=80"
NCT01023581,uaa10496,male,47,53.6,10.5,9,0.060000000000000005,"0=32, 20=46, 35=51, 41=52, 48=52, 80=62, 87=68, 96=69, 100=76"
NCT01023581,uaa10492,female,64,52.4,9.8,5,0.08,"0=28, 13=45, 49=51, 90=64, 100=71"
NCT01023581,uaa10496,female,67,55.2,10,5,0.11999999999999998,"0=29, 12=45, 29=52, 77=61, 100=75"
NCT01023581,uaa10494,male,48,49.8,12.5,5,0.09,"0=22, 13=39, 21=39, 74=57, 100=78"
NCT01023581,uaa10491,female,50,55,10.2,6,0.08,"0=29, 6=41, 18=42, 37=53, 86=65, 100=73"
NCT01023581,uaa10495,male,51,51.1,11.4,5,0.07,"0=32, 24=44, 68=56, 90=65, 100=74"
NCT01023581,uaa10494,female,63,56.6,10,7,0.060000000000000005,"0=34, 11=46, 21=50, 35=52, 66=60, 89=68, 100=76"
NCT01023581,uaa10493,female,52,53.7,9.8,6,0.07,"0=33, 33=51, 41=51, 49=55, 82=62, 100=71"
NCT01890122,uaa10959,female,80,54,9,5,0.09,"0=32, 16=46, 57=57, 84=61, 100=74"
NCT01890122,uaa10958,male,91,53.4,10.9,5,0.08,"0=26, 9=40, 50=56, 81=62, 100=75"
NCT01890122,uaa10957,female,65,56,9.6,5,0.08,"0=32, 19=50, 61=58, 97=69, 100=75"
NCT01890122,uaa10959,male,82,53.2,10.8,5,0.09,"0=29, 32=50, 53=58, 91=65, 100=71"
