nct_id,arm_id_unq,sex,participants,mean,sd,Number of quantiles,epsilon,Age (years) at quantiles (%)
NCT00641043,uaa10253,male,152,58.2,10.1,8,0.05,"0=34, 26=53, 46=59, 52=59, 75=66, 83=67, 95=72, 100=79"
NCT00641043,uaa10254,male,85,56.9,10.1,5,0.060000000000000005,"0=32, 21=50, 76=65, 87=66, 100=79"
NCT00641043,uaa10253,female,107,57,8.9,5,0.07,"0=25, 10=48, 77=63, 97=71, 100=77"
NCT00641043,uaa10254,female,45,57.5,10.3,6,0.07,"0=35, 16=49, 50=56, 77=67, 93=69, 100=79"
NCT00621140,uaa10244,female,88,54.8,10.1,9,0.060000000000000005,"0=28, 21=49, 37=53, 43=54, 48=54, 64=60, 70=60, 79=62, 100=72"
NCT00621140,uaa10243,male,164,56.8,10.1,9,0.05,"0=28, 2=37, 11=45, 36=54, 40=54, 41=55, 45=55, 93=70, 100=79"
NCT00621140,uaa10244,male,79,54,10.5,5,0.07,"0=29, 12=42, 60=59, 86=64, 100=75"
NCT00621140,uaa10243,female,172,55.9,10.1,5,0.09,"0=24, 11=44, 71=61, 96=71, 100=79"
NCT00601250,uaa10222,female,246,56.9,9.7,5,0.07,"0=29, 4=41, 19=49, 81=65, 100=78"
NCT00601250,uaa10223,male,101,55.5,11.6,5,0.08,"0=21, 13=43, 46=58, 86=66, 100=75"
NCT00601250,uaa10222,male,278,56.2,10.4,5,0.07,"0=26, 3=37, 19=48, 85=66, 100=78"
NCT00601250,uaa10223,female,76,58.1,9.9,5,0.08,"0=36, 17=50, 35=56, 81=65, 100=79"
NCT00602472,uaa10225,female,422,58.6,9.2,12,0.05,"0=33, 16=51, 26=54, 31=54, 31=55, 37=55, 37=56, 42=56, 58=61, 63=61, 80=66, 100=79"
NCT00602472,uaa10226,female,136,57.7,10.1,5,0.09,"0=26, 16=48, 44=59, 87=67, 100=76"
NCT00602472,uaa10225,male,371,57.9,10.6,5,0.060000000000000005,"0=23, 7=43, 31=53, 69=63, 100=79"
NCT00602472,uaa10226,male,129,57.6,9.2,5,0.07,"0=34, 7=45, 40=56, 84=66, 100=79"
NCT00622284,uaa10247,male,462,59.1,9.1,5,0.07,"0=29, 11=48, 26=54, 93=71, 100=79"
NCT00622284,uaa10246,female,304,59.2,8.9,9,0.060000000000000005,"0=28, 8=48, 44=59, 49=59, 54=61, 60=61, 65=62, 93=71, 100=80"
NCT00622284,uaa10246,male,471,60.2,9.6,9,0.060000000000000005,"0=34, 16=51, 36=58, 41=58, 46=59, 55=63, 82=69, 97=75, 100=80"
NCT00622284,uaa10247,female,315,60.8,9.8,6,0.07,"0=31, 15=52, 29=57, 41=58, 72=66, 100=80"
NCT00654381,uaa10263,male,112,61,9.6,5,0.07,"0=31, 3=43, 19=54, 78=68, 100=79"
NCT00654381,uaa10263,female,48,62.2,10.9,5,0.060000000000000005,"0=39, 28=58, 36=60, 45=60, 100=80"
NCT00654381,uaa10264,male,111,60,9.5,5,0.09,"0=36, 11=48, 61=66, 92=71, 100=78"
NCT00654381,uaa10267,male,115,59,9.8,5,0.09,"0=36, 28=54, 61=65, 97=72, 100=77"
NCT00654381,uaa10265,male,57,59.7,9.7,6,0.08,"0=40, 16=51, 41=55, 55=64, 91=71, 100=80"
NCT00654381,uaa10267,female,47,57.3,9.9,8,0.07,"0=30, 20=53, 41=58, 48=58, 50=59, 59=59, 83=64, 100=77"
NCT00654381,uaa10265,female,23,59.8,6.4,6,0.09,"0=49, 23=56, 27=57, 41=57, 50=58, 100=71"
NCT00654381,uaa10264,female,48,60.8,9.3,5,0.11999999999999998,"0=38, 21=55, 45=58, 47=63, 100=75"
NCT00954447,uaa10443,female,300,59.5,10.4,5,0.07,"0=22, 14=50, 30=56, 88=70, 100=88"
NCT00954447,uaa10443,male,330,60,9.4,5,0.07,"0=34, 15=51, 25=55, 86=69, 100=85"
NCT00954447,uaa10444,male,325,59.6,9.9,6,0.07,"0=27, 3=40, 16=51, 37=58, 87=69, 100=85"
NCT00954447,uaa10444,female,301,61.2,9.9,5,0.07,"0=26, 11=50, 50=63, 87=71, 100=83"
NCT00798161,uaa10363,female,70,55.8,10.8,5,0.07,"0=31, 7=40, 35=54, 87=65, 100=76"
NCT00798161,uaa10365,female,62,54.4,9.6,5,0.08,"0=31, 18=47, 38=52, 74=57, 100=73"
NCT00798161,uaa10362,female,66,55.8,10.5,9,0.060000000000000005,"0=26, 15=49, 23=52, 31=52, 32=53, 38=53, 40=55, 77=63, 100=73"
NCT00798161,uaa10361,male,80,56,11.3,5,0.07,"0=28, 5=39, 20=48, 73=62, 100=77"
NCT00798161,uaa10363,male,73,55.5,11.6,7,0.07,"0=30, 22=47, 53=56, 61=62, 75=62, 90=69, 100=80"
NCT00798161,uaa10364,female,69,54.9,11.2,6,0.07,"0=25, 12=44, 40=50, 59=59, 81=64, 100=76"
NCT00798161,uaa10364,male,78,55.4,10.1,5,0.08,"0=31, 4=40, 25=50, 69=59, 100=76"
NCT00798161,uaa10362,male,77,56.9,10.9,6,0.08,"0=33, 13=45, 43=53, 47=57, 58=58, 100=77"
NCT00798161,uaa10361,female,62,56.6,10.2,6,0.060000000000000005,"0=36, 38=55, 57=60, 66=60, 92=69, 100=77"
NCT00798161,uaa10365,male,82,51.8,10.9,7,0.060000000000000005,"0=30, 21=43, 28=46, 40=47, 46=51, 78=60, 100=71"
NCT00798161,uaa10366,male,36,54.1,10.9,6,0.09999999999999999,"0=33, 17=46, 60=56, 69=62, 86=64, 100=72"
NCT00798161,uaa10366,female,36,57.3,10.9,6,0.04,"0=40, 9=44, 40=52, 54=59, 71=63, 100=78"
NCT00915772,uaa10431,female,105,56.8,10.2,5,0.08,"0=32, 17=48, 33=54, 86=66, 100=78"
NCT00915772,uaa10432,female,74,55.8,10.5,16,0.04,"0=27, 3=35, 22=50, 26=50, 30=53, 38=53, 51=57, 55=58, 60=58, 63=60, 71=62, 75=62, 78=64, 82=64, 99=74, 100=79"
NCT00915772,uaa10431,male,120,55.2,11.2,5,0.07,"0=31, 22=47, 54=55, 94=71, 100=80"
NCT00915772,uaa10430,female,77,56.5,10.8,5,0.09,"0=34, 11=45, 78=63, 80=70, 100=76"
NCT00915772,uaa10432,male,97,55.7,11.1,9,0.060000000000000005,"0=29, 11=43, 35=52, 41=53, 48=53, 56=58, 61=58, 65=59, 100=77"
NCT00915772,uaa10430,male,94,54.9,10.6,5,0.08,"0=30, 9=42, 31=51, 60=56, 100=77"
NCT01438814,uaa10775,male,158,53.3,10.9,5,0.060000000000000005,"0=28, 15=43, 78=61, 96=71, 100=78"
NCT01438814,uaa10774,female,175,53.1,10.5,5,0.060000000000000005,"0=22, 2=32, 16=44, 89=64, 100=76"
NCT01438814,uaa10774,male,169,53.2,10.9,5,0.07,"0=29, 17=43, 36=47, 88=65, 100=80"
NCT01438814,uaa10775,female,187,52.5,10.5,5,0.08,"0=20, 10=40, 22=46, 89=64, 100=79"
NCT01215097,uaa10696,female,103,55.7,10.1,7,0.08,"0=19, 13=46, 25=51, 48=54, 64=61, 83=64, 100=79"
NCT01215097,uaa10696,male,102,54.4,11.3,6,0.07,"0=31, 37=53, 52=55, 69=61, 77=61, 100=79"
NCT01215097,uaa10697,female,50,56.8,8.8,5,0.08,"0=39, 22=52, 55=57, 92=67, 100=76"
NCT01215097,uaa10697,male,51,56.1,8.7,5,0.07,"0=32, 10=47, 48=57, 88=64, 100=74"
NCT01214239,uaa10694,female,40,54.8,10.1,5,0.09,"0=30, 26=53, 49=55, 77=61, 100=72"
NCT01214239,uaa10693,female,84,56.4,9.7,5,0.10999999999999999,"0=28, 10=46, 23=52, 67=58, 100=79"
NCT01214239,uaa10693,male,117,53.2,10.2,5,0.08,"0=28, 12=42, 30=50, 82=61, 100=77"
NCT01214239,uaa10694,male,59,53.7,8.8,6,0.08,"0=30, 12=45, 38=53, 81=59, 95=64, 100=80"
NCT01204294,uaa10684,male,105,60.6,10.6,5,0.060000000000000005,"0=29, 6=43, 24=55, 77=68, 100=79"
NCT01204294,uaa10684,female,38,65,10.9,6,0.07,"0=40, 19=59, 46=64, 73=73, 84=74, 100=83"
NCT01204294,uaa10682,male,48,62.6,9,5,0.08,"0=43, 30=61, 38=61, 68=65, 100=80"
NCT01204294,uaa10683,male,49,56.2,9.2,6,0.08,"0=28, 15=48, 44=57, 50=58, 60=58, 100=71"
NCT01204294,uaa10685,male,58,60.4,8.9,5,0.09,"0=42, 28=57, 67=63, 95=73, 100=80"
NCT01204294,uaa10686,male,42,58,11.2,7,0.060000000000000005,"0=37, 37=55, 46=56, 56=62, 71=64, 90=71, 100=79"
NCT01204294,uaa10687,male,44,59.7,11.2,6,0.07,"0=36, 28=55, 63=63, 65=66, 88=72, 100=82"
NCT01204294,uaa10682,female,18,62.6,8.4,5,0.09999999999999999,"0=48, 12=56, 24=56, 82=68, 100=81"
NCT01204294,uaa10681,female,30,64.6,9.8,6,0.07,"0=41, 21=61, 28=61, 72=72, 79=72, 100=76"
NCT01204294,uaa10685,female,16,60.5,11.3,5,0.12999999999999998,"0=31, 20=55, 40=62, 80=67, 100=76"
NCT01204294,uaa10681,male,55,60.6,10.5,5,0.07,"0=32, 7=46, 30=58, 65=65, 100=77"
NCT01204294,uaa10687,female,19,64.7,8.1,6,0.09,"0=45, 6=56, 50=66, 61=66, 67=70, 100=76"
NCT01204294,uaa10683,female,33,61.6,10.3,6,0.08,"0=43, 31=60, 38=61, 50=61, 84=69, 100=84"
NCT01204294,uaa10686,female,19,62.3,7.3,5,0.07,"0=50, 22=55, 33=61, 78=67, 100=74"
NCT01792518,uaa10927,male,116,61.2,10.1,8,0.05,"0=32, 15=54, 32=57, 56=64, 63=64, 76=69, 81=69, 100=79"
NCT01792518,uaa10928,male,113,60.8,9.1,5,0.07,"0=38, 14=51, 56=65, 88=70, 100=79"
NCT01792518,uaa10927,female,66,60.6,9.7,5,0.09,"0=29, 12=52, 23=52, 78=67, 100=80"
NCT01792518,uaa10928,female,65,58.9,9.7,6,0.07,"0=38, 17=51, 48=57, 55=62, 78=66, 100=76"
NCT01210001,uaa10689,female,82,54.8,10.1,11,0.05,"0=29, 10=44, 25=48, 30=48, 49=56, 59=58, 64=58, 75=63, 83=65, 88=65, 100=79"
NCT01210001,uaa10690,female,83,54.5,8.7,5,0.09999999999999999,"0=30, 24=50, 49=57, 91=64, 100=69"
NCT01210001,uaa10691,male,73,55.8,9.6,5,0.08,"0=31, 4=42, 25=51, 92=65, 100=85"
NCT01210001,uaa10689,male,83,54.5,9.7,5,0.060000000000000005,"0=35, 12=45, 26=47, 88=64, 100=82"
NCT01210001,uaa10690,male,85,53.9,9.2,7,0.060000000000000005,"0=34, 18=46, 46=52, 56=57, 64=57, 93=65, 100=77"
NCT01210001,uaa10691,female,93,53.7,11,5,0.08,"0=27, 11=41, 75=62, 86=63, 100=84"
NCT01177813,uaa10647,male,141,55,10.1,5,0.08,"0=24, 5=40, 19=48, 84=64, 100=79"
NCT01177813,uaa10645,female,78,55,10.5,5,0.08,"0=25, 9=44, 34=51, 56=54, 100=78"
NCT01177813,uaa10645,male,145,52.9,11.6,5,0.07,"0=23, 17=43, 39=48, 87=66, 100=77"
NCT01177813,uaa10644,male,142,55.7,11.7,7,0.05,"0=30, 9=41, 35=51, 40=51, 65=62, 77=65, 100=78"
NCT01177813,uaa10646,female,105,55.8,11,5,0.09,"0=31, 15=45, 43=56, 85=65, 100=86"
NCT01177813,uaa10647,female,82,55.4,9.5,6,0.07,"0=28, 9=44, 47=56, 67=59, 88=65, 100=78"
NCT01177813,uaa10646,male,123,54.1,10.8,10,0.060000000000000005,"0=28, 20=46, 31=50, 37=50, 43=54, 52=55, 58=58, 66=58, 87=65, 100=80"
NCT01177813,uaa10644,female,82,57.1,11.6,6,0.060000000000000005,"0=28, 14=45, 32=53, 77=64, 88=69, 100=88"
NCT01159600,uaa10628,female,197,56.6,10,5,0.07,"0=19, 7=44, 45=57, 90=67, 100=82"
NCT01159600,uaa10628,male,241,56.3,9.7,5,0.08,"0=30, 11=45, 39=55, 89=67, 100=84"
NCT01159600,uaa10629,female,205,56.6,9.1,15,0.05,"0=31, 4=42, 12=47, 17=47, 27=52, 31=53, 37=53, 42=55, 47=55, 52=58, 57=58, 60=60, 65=60, 92=68, 100=77"
NCT01159600,uaa10627,male,240,56.4,9.5,5,0.07,"0=27, 9=45, 25=51, 87=66, 100=81"
NCT01159600,uaa10629,male,232,56.4,9.7,13,0.05,"0=30, 5=41, 16=48, 37=54, 42=55, 47=55, 57=59, 61=59, 66=61, 71=61, 75=64, 80=64, 100=76"
NCT01159600,uaa10627,female,207,56.1,9.7,5,0.09,"0=28, 16=47, 42=56, 86=65, 100=84"
NCT01167881,uaa10635,male,434,56.4,10.3,10,0.05,"0=25, 1=35, 10=44, 41=55, 46=55, 46=56, 51=56, 87=68, 98=75, 100=82"
NCT01167881,uaa10635,female,335,55.9,10.3,5,0.07,"0=27, 12=44, 25=50, 86=66, 100=83"
NCT01167881,uaa10636,female,359,54.8,10.7,5,0.060000000000000005,"0=24, 13=43, 43=54, 83=64, 100=80"
NCT01167881,uaa10636,male,421,56.4,10.2,5,0.08,"0=23, 9=43, 33=53, 92=69, 100=83"
NCT01164501,uaa10632,male,189,63.8,8.7,6,0.08,"0=40, 7=52, 29=60, 57=64, 87=73, 100=87"
NCT01164501,uaa10633,male,183,64.3,8.8,6,0.08,"0=37, 18=57, 29=61, 71=69, 98=78, 100=82"
NCT01164501,uaa10633,female,138,63.7,8.7,6,0.07,"0=26, 7=53, 17=57, 55=64, 92=74, 100=86"
NCT01164501,uaa10632,female,133,64.2,9.3,7,0.07,"0=31, 14=56, 54=64, 67=70, 73=70, 89=74, 100=85"
NCT01164501,uaa10631,male,60,64.3,8.9,5,0.07,"0=32, 7=55, 19=56, 46=62, 100=80"
NCT01164501,uaa10631,female,38,61.5,7.5,6,0.07,"0=42, 8=54, 41=58, 62=64, 70=64, 100=75"
NCT01370005,uaa10738,male,156,59.9,9.8,11,0.060000000000000005,"0=34, 3=43, 18=52, 45=60, 53=60, 58=61, 70=66, 75=66, 83=68, 95=75, 100=84"
NCT01370005,uaa10737,male,171,60.5,7.7,5,0.09,"0=37, 8=51, 23=56, 81=66, 100=82"
NCT01370005,uaa10739,male,169,60.6,8.4,5,0.07,"0=35, 12=52, 79=67, 97=73, 100=81"
NCT01370005,uaa10737,female,105,60.7,9.7,7,0.060000000000000005,"0=35, 13=51, 27=56, 43=60, 52=60, 85=70, 100=82"
NCT01370005,uaa10738,female,121,59.8,9.6,6,0.060000000000000005,"0=34, 21=54, 44=60, 71=64, 88=69, 100=80"
NCT01370005,uaa10739,female,103,59.9,9.4,5,0.08,"0=33, 10=49, 39=60, 91=70, 100=79"
NCT01306214,uaa10726,male,85,58.7,9.4,8,0.07,"0=31, 15=51, 33=56, 39=57, 46=57, 68=65, 89=69, 100=75"
NCT01306214,uaa10725,male,98,56.8,9.5,5,0.07,"0=37, 23=50, 56=60, 87=66, 100=80"
NCT01306214,uaa10725,female,89,56.8,7.8,11,0.07,"0=37, 12=49, 26=51, 34=55, 41=55, 45=57, 64=59, 74=63, 81=63, 93=66, 100=76"
NCT01306214,uaa10727,male,75,56.2,9.2,5,0.09,"0=29, 5=43, 24=51, 82=64, 100=74"
NCT01306214,uaa10726,female,105,57.5,9.4,5,0.08,"0=32, 12=47, 39=57, 83=65, 100=78"
NCT01306214,uaa10727,female,114,54.7,10.6,5,0.07,"0=20, 6=39, 19=47, 73=61, 100=74"
NCT01368081,uaa10734,male,399,59.6,10.5,5,0.07,"0=23, 11=47, 39=58, 79=68, 100=82"
NCT01368081,uaa10734,female,151,60.7,11,5,0.060000000000000005,"0=34, 6=42, 33=58, 90=73, 100=82"
NCT01368081,uaa10733,male,391,60.2,10.4,6,0.060000000000000005,"0=25, 10=47, 40=59, 58=62, 91=73, 100=83"
NCT01368081,uaa10733,female,158,62.3,9.6,6,0.060000000000000005,"0=34, 9=49, 21=56, 83=71, 98=77, 100=82"
NCT01422876,uaa10768,female,132,55.6,10.7,5,0.08,"0=24, 8=42, 25=51, 89=66, 100=81"
NCT01422876,uaa10772,male,149,55.8,10.8,5,0.08,"0=25, 4=37, 26=51, 88=67, 100=79"
NCT01422876,uaa10771,female,132,55.8,9.9,5,0.08,"0=22, 4=40, 21=49, 83=65, 100=74"
NCT01422876,uaa10770,male,160,56.1,10.2,5,0.07,"0=24, 11=44, 42=55, 87=66, 100=80"
NCT01422876,uaa10768,male,150,54.5,10.3,5,0.08,"0=28, 3=38, 23=48, 90=66, 100=86"
NCT01422876,uaa10769,female,133,56.4,9.8,8,0.060000000000000005,"0=30, 18=49, 45=57, 50=57, 55=59, 63=59, 86=66, 100=77"
NCT01422876,uaa10772,female,130,54.1,10.4,5,0.060000000000000005,"0=25, 3=35, 18=46, 88=65, 100=75"
NCT01422876,uaa10769,male,147,54.7,9.8,5,0.09,"0=27, 10=42, 44=55, 88=65, 100=82"
NCT01422876,uaa10771,male,154,55.6,10.5,5,0.08,"0=36, 27=50, 42=52, 86=66, 100=81"
NCT01422876,uaa10770,female,118,55.5,9.6,8,0.08,"0=27, 13=46, 25=51, 55=56, 58=59, 75=61, 88=65, 100=74"
NCT01708902,uaa10875,female,55,52.9,10,5,0.09999999999999999,"0=29, 13=43, 54=56, 85=61, 100=76"
NCT01708902,uaa10873,male,76,50.2,11.2,5,0.08,"0=25, 31=46, 75=59, 87=60, 100=73"
NCT01708902,uaa10876,male,92,51.2,10.7,8,0.05,"0=25, 14=40, 34=48, 41=48, 45=49, 58=55, 88=62, 100=74"
NCT01708902,uaa10874,female,60,51.1,9,9,0.060000000000000005,"0=27, 19=45, 27=48, 32=49, 37=49, 73=57, 80=57, 90=60, 100=73"
NCT01708902,uaa10877,female,54,53.1,8.2,6,0.08,"0=35, 6=43, 43=52, 51=52, 72=56, 100=72"
NCT01708902,uaa10873,female,71,51.4,9.7,6,0.09,"0=24, 20=44, 71=60, 83=60, 94=63, 100=70"
NCT01708902,uaa10874,male,87,50.5,9.7,5,0.08,"0=19, 7=37, 36=48, 88=61, 100=68"
