nct_id,nct_id2,models,r.squared,adj.r.squared,sigma,statistic,p.value,df,logLik,AIC,BIC,deviance,df.residual,nobs
NCT00641043,NCT00641043,b1,1.181e-02,-6.347e-03,8.394e-01,6.504e-01,7.140e-01,7,-4.798e+02,9.776e+02,1.013e+03,2.684e+02,381,389
NCT00621140,NCT00621140,b1,5.987e-03,-8.070e-03,8.767e-01,4.259e-01,8.861e-01,7,-6.435e+02,1.305e+03,1.343e+03,3.805e+02,495,503
NCT00601250,NCT00601250,b1,1.694e-02,7.013e-03,8.699e-01,1.706e+00,1.044e-01,7,-8.930e+02,1.804e+03,1.845e+03,5.244e+02,693,701
NCT00602472,NCT00602472,b1,9.433e-03,2.822e-03,8.140e-01,1.427e+00,1.905e-01,7,-1.278e+03,2.574e+03,2.619e+03,6.950e+02,1049,1057
NCT00622284,NCT00622284,b1,5.676e-03,1.168e-03,8.773e-01,1.259e+00,2.671e-01,7,-1.995e+03,4.008e+03,4.056e+03,1.188e+03,1544,1552
NCT00654381,NCT00654381,b1,3.173e-02,5.079e-03,6.814e-01,1.191e+00,2.743e-01,15,-5.727e+02,1.179e+03,1.253e+03,2.530e+02,545,561
NCT00954447,NCT00954447,b1,7.795e-03,2.221e-03,8.448e-01,1.398e+00,2.020e-01,7,-1.564e+03,3.146e+03,3.192e+03,8.892e+02,1246,1254
NCT00798161,NCT00798161,b1,2.919e-02,8.115e-05,9.501e-01,1.003e+00,4.588e-01,23,-1.070e+03,2.189e+03,2.306e+03,6.923e+02,767,791
NCT00915772,NCT00915772,b1,2.425e-02,4.912e-03,1.055e+00,1.254e+00,2.480e-01,11,-8.289e+02,1.684e+03,1.740e+03,6.178e+02,555,567
NCT01438814,NCT01438814,b1,1.980e-02,9.724e-03,8.799e-01,1.965e+00,5.740e-02,7,-8.855e+02,1.789e+03,1.830e+03,5.272e+02,681,689
NCT01215097,NCT01215097,b1,2.003e-02,-2.989e-03,8.310e-01,8.701e-01,5.304e-01,7,-3.735e+02,7.650e+02,7.985e+02,2.058e+02,298,306
NCT01214239,NCT01214239,b1,1.952e-02,-4.069e-03,8.991e-01,8.275e-01,5.651e-01,7,-3.884e+02,7.948e+02,8.281e+02,2.353e+02,291,299
NCT01204294,NCT01204294,b1,1.268e-01,8.361e-02,7.655e-01,2.936e+00,1.667e-06,27,-6.467e+02,1.351e+03,1.478e+03,3.199e+02,546,574
NCT01792518,NCT01792518,b1,5.719e-02,3.845e-02,8.580e-01,3.051e+00,3.956e-03,7,-4.516e+02,9.213e+02,9.562e+02,2.591e+02,352,360
NCT01210001,NCT01210001,b1,4.139e-02,1.970e-02,8.697e-01,1.908e+00,3.623e-02,11,-6.310e+02,1.288e+03,1.343e+03,3.676e+02,486,498
NCT01177813,NCT01177813,b1,1.307e-02,-3.737e-03,8.277e-01,7.776e-01,7.036e-01,15,-1.095e+03,2.224e+03,2.306e+03,6.036e+02,881,897
NCT01159600,NCT01159600,b1,1.392e-02,5.611e-03,8.454e-01,1.676e+00,7.348e-02,11,-1.643e+03,3.311e+03,3.379e+03,9.333e+02,1306,1318
NCT01167881,NCT01167881,b1,1.829e-02,1.382e-02,8.349e-01,4.093e+00,1.835e-04,7,-1.911e+03,3.840e+03,3.888e+03,1.072e+03,1538,1546
NCT01164501,NCT01164501,b1,1.374e-02,-1.184e-03,8.173e-01,9.207e-01,5.197e-01,11,-8.934e+02,1.813e+03,1.873e+03,4.856e+02,727,739
NCT01370005,NCT01370005,b1,2.484e-02,1.165e-02,7.310e-01,1.883e+00,3.819e-02,11,-9.061e+02,1.838e+03,1.899e+03,4.345e+02,813,825
NCT01306214,NCT01306214,b1,4.402e-02,2.493e-02,7.208e-01,2.306e+00,9.098e-03,11,-6.085e+02,1.243e+03,1.299e+03,2.863e+02,551,563
NCT01368081,NCT01368081,b1,1.693e-02,1.062e-02,7.741e-01,2.683e+00,9.299e-03,7,-1.274e+03,2.566e+03,2.611e+03,6.537e+02,1091,1099
NCT01422876,NCT01422876,b1,2.499e-02,1.161e-02,8.999e-01,1.868e+00,1.299e-02,19,-1.835e+03,3.713e+03,3.823e+03,1.122e+03,1385,1405
