nct_id,nct_id2,models,term,estimate,std.error,statistic,p.value
NCT00641043,NCT00641043,b1,(Intercept),7.493,0.716,10.458,1.132e-22
NCT00641043,NCT00641043,b1,sex,1.469,0.887,1.657,9.841e-02
NCT00641043,NCT00641043,b1,age10,0.173,0.123,1.412,1.588e-01
NCT00641043,NCT00641043,b1,arm_f_2_uaa10253,1.404,0.889,1.58,1.149e-01
NCT00641043,NCT00641043,b1,sex:age10,-0.229,0.153,-1.5,1.345e-01
NCT00641043,NCT00641043,b1,sex:arm_f_2_uaa10253,-1.627,1.106,-1.471,1.421e-01
NCT00641043,NCT00641043,b1,age10:arm_f_2_uaa10253,-0.22,0.153,-1.442,1.500e-01
NCT00641043,NCT00641043,b1,sex:age10:arm_f_2_uaa10253,0.242,0.19,1.276,2.029e-01
NCT00621140,NCT00621140,b1,(Intercept),8.324,0.519,16.04,6.234e-47
NCT00621140,NCT00621140,b1,sex,-0.533,0.735,-0.726,4.685e-01
NCT00621140,NCT00621140,b1,age10,-0.059,0.093,-0.636,5.248e-01
NCT00621140,NCT00621140,b1,arm_f_2_uaa10243,0.165,0.641,0.257,7.976e-01
NCT00621140,NCT00621140,b1,sex:age10,0.097,0.133,0.732,4.648e-01
NCT00621140,NCT00621140,b1,sex:arm_f_2_uaa10243,0.29,0.914,0.317,7.514e-01
NCT00621140,NCT00621140,b1,age10:arm_f_2_uaa10243,-0.025,0.114,-0.216,8.292e-01
NCT00621140,NCT00621140,b1,sex:age10:arm_f_2_uaa10243,-0.062,0.163,-0.381,7.037e-01
NCT00601250,NCT00601250,b1,(Intercept),9.114,0.6,15.181,3.792e-45
NCT00601250,NCT00601250,b1,sex,-1.062,0.736,-1.443,1.493e-01
NCT00601250,NCT00601250,b1,age10,-0.167,0.102,-1.635,1.025e-01
NCT00601250,NCT00601250,b1,arm_f_2_uaa10222,-0.576,0.686,-0.84,4.011e-01
NCT00601250,NCT00601250,b1,sex:age10,0.143,0.127,1.127,2.603e-01
NCT00601250,NCT00601250,b1,sex:arm_f_2_uaa10222,1.088,0.857,1.27,2.045e-01
NCT00601250,NCT00601250,b1,age10:arm_f_2_uaa10222,0.094,0.117,0.801,4.232e-01
NCT00601250,NCT00601250,b1,sex:age10:arm_f_2_uaa10222,-0.157,0.148,-1.064,2.876e-01
NCT00602472,NCT00602472,b1,(Intercept),8.046,0.407,19.765,3.663e-74
NCT00602472,NCT00602472,b1,sex,0.317,0.612,0.518,6.049e-01
NCT00602472,NCT00602472,b1,age10,0.023,0.07,0.326,7.446e-01
NCT00602472,NCT00602472,b1,arm_f_2_uaa10225,0.423,0.481,0.88,3.791e-01
NCT00602472,NCT00602472,b1,sex:age10,-0.071,0.105,-0.675,5.001e-01
NCT00602472,NCT00602472,b1,sex:arm_f_2_uaa10225,-0.619,0.704,-0.88,3.789e-01
NCT00602472,NCT00602472,b1,age10:arm_f_2_uaa10225,-0.067,0.082,-0.814,4.159e-01
NCT00602472,NCT00602472,b1,sex:age10:arm_f_2_uaa10225,0.095,0.12,0.793,4.282e-01
NCT00622284,NCT00622284,b1,(Intercept),8.187,0.338,24.256,2.218e-110
NCT00622284,NCT00622284,b1,sex,-0.433,0.424,-1.022,3.071e-01
NCT00622284,NCT00622284,b1,age10,-0.075,0.056,-1.336,1.816e-01
NCT00622284,NCT00622284,b1,arm_f_2_uaa10247,-0.875,0.46,-1.903,5.719e-02
NCT00622284,NCT00622284,b1,sex:age10,0.059,0.07,0.835,4.037e-01
NCT00622284,NCT00622284,b1,sex:arm_f_2_uaa10247,1.137,0.591,1.925,5.438e-02
NCT00622284,NCT00622284,b1,age10:arm_f_2_uaa10247,0.126,0.076,1.657,9.766e-02
NCT00622284,NCT00622284,b1,sex:age10:arm_f_2_uaa10247,-0.158,0.098,-1.62,1.055e-01
NCT00654381,NCT00654381,b1,(Intercept),8.003,1.356,5.901,6.354e-09
NCT00654381,NCT00654381,b1,sex,-0.48,1.47,-0.327,7.441e-01
NCT00654381,NCT00654381,b1,age10,-0.001,0.225,-0.006,9.955e-01
NCT00654381,NCT00654381,b1,arm_f_2_uaa10263,0.535,1.472,0.363,7.166e-01
NCT00654381,NCT00654381,b1,arm_f_2_uaa10264,1.462,1.508,0.969,3.328e-01
NCT00654381,NCT00654381,b1,arm_f_2_uaa10267,0.494,1.479,0.334,7.385e-01
NCT00654381,NCT00654381,b1,sex:age10,0.069,0.244,0.284,7.764e-01
NCT00654381,NCT00654381,b1,sex:arm_f_2_uaa10263,0.086,1.632,0.053,9.581e-01
NCT00654381,NCT00654381,b1,sex:arm_f_2_uaa10264,-0.451,1.664,-0.271,7.863e-01
NCT00654381,NCT00654381,b1,sex:arm_f_2_uaa10267,0.963,1.63,0.591,5.549e-01
NCT00654381,NCT00654381,b1,age10:arm_f_2_uaa10263,-0.097,0.243,-0.398,6.910e-01
NCT00654381,NCT00654381,b1,age10:arm_f_2_uaa10264,-0.219,0.25,-0.877,3.807e-01
NCT00654381,NCT00654381,b1,age10:arm_f_2_uaa10267,-0.078,0.247,-0.316,7.523e-01
NCT00654381,NCT00654381,b1,sex:age10:arm_f_2_uaa10263,0.005,0.269,0.018,9.857e-01
NCT00654381,NCT00654381,b1,sex:age10:arm_f_2_uaa10264,0.07,0.275,0.255,7.992e-01
NCT00654381,NCT00654381,b1,sex:age10:arm_f_2_uaa10267,-0.155,0.272,-0.57,5.692e-01
NCT00954447,NCT00954447,b1,(Intercept),8.496,0.308,27.582,4.108e-131
NCT00954447,NCT00954447,b1,sex,0.37,0.42,0.882,3.780e-01
NCT00954447,NCT00954447,b1,age10,-0.026,0.05,-0.519,6.040e-01
NCT00954447,NCT00954447,b1,arm_f_2_uaa10443,-0.172,0.418,-0.412,6.804e-01
NCT00954447,NCT00954447,b1,sex:age10,-0.081,0.069,-1.182,2.373e-01
NCT00954447,NCT00954447,b1,sex:arm_f_2_uaa10443,-0.005,0.589,-0.008,9.938e-01
NCT00954447,NCT00954447,b1,age10:arm_f_2_uaa10443,0.019,0.068,0.278,7.807e-01
NCT00954447,NCT00954447,b1,sex:age10:arm_f_2_uaa10443,0.021,0.097,0.214,8.307e-01
NCT00798161,NCT00798161,b1,(Intercept),10.108,0.857,11.79,1.326e-29
NCT00798161,NCT00798161,b1,sex,-1.368,1.178,-1.161,2.461e-01
NCT00798161,NCT00798161,b1,age10,-0.25,0.147,-1.701,8.942e-02
NCT00798161,NCT00798161,b1,arm_f_2_uaa10361,-0.495,1.098,-0.451,6.521e-01
NCT00798161,NCT00798161,b1,arm_f_2_uaa10362,0.32,1.067,0.3,7.642e-01
NCT00798161,NCT00798161,b1,arm_f_2_uaa10363,-1.4,1.047,-1.337,1.816e-01
NCT00798161,NCT00798161,b1,arm_f_2_uaa10364,-1.339,1.032,-1.297,1.950e-01
NCT00798161,NCT00798161,b1,arm_f_2_uaa10365,-1.167,1.108,-1.054,2.924e-01
NCT00798161,NCT00798161,b1,sex:age10,0.258,0.208,1.24,2.152e-01
NCT00798161,NCT00798161,b1,sex:arm_f_2_uaa10361,0.574,1.467,0.391,6.958e-01
NCT00798161,NCT00798161,b1,sex:arm_f_2_uaa10362,-0.206,1.459,-0.142,8.875e-01
NCT00798161,NCT00798161,b1,sex:arm_f_2_uaa10363,1.464,1.431,1.023,3.065e-01
NCT00798161,NCT00798161,b1,sex:arm_f_2_uaa10364,1.482,1.443,1.027,3.046e-01
NCT00798161,NCT00798161,b1,sex:arm_f_2_uaa10365,1.82,1.464,1.243,2.143e-01
NCT00798161,NCT00798161,b1,age10:arm_f_2_uaa10361,0.116,0.189,0.614,5.397e-01
NCT00798161,NCT00798161,b1,age10:arm_f_2_uaa10362,-0.043,0.185,-0.234,8.154e-01
NCT00798161,NCT00798161,b1,age10:arm_f_2_uaa10363,0.242,0.181,1.335,1.824e-01
NCT00798161,NCT00798161,b1,age10:arm_f_2_uaa10364,0.219,0.179,1.223,2.216e-01
NCT00798161,NCT00798161,b1,age10:arm_f_2_uaa10365,0.188,0.194,0.966,3.343e-01
NCT00798161,NCT00798161,b1,sex:age10:arm_f_2_uaa10361,-0.168,0.258,-0.652,5.148e-01
NCT00798161,NCT00798161,b1,sex:age10:arm_f_2_uaa10362,-0.019,0.256,-0.072,9.424e-01
NCT00798161,NCT00798161,b1,sex:age10:arm_f_2_uaa10363,-0.263,0.252,-1.043,2.975e-01
NCT00798161,NCT00798161,b1,sex:age10:arm_f_2_uaa10364,-0.29,0.255,-1.138,2.553e-01
NCT00798161,NCT00798161,b1,sex:age10:arm_f_2_uaa10365,-0.34,0.262,-1.296,1.952e-01
NCT00915772,NCT00915772,b1,(Intercept),7.748,0.646,11.994,1.235e-29
NCT00915772,NCT00915772,b1,sex,-0.438,0.867,-0.506,6.131e-01
NCT00915772,NCT00915772,b1,age10,-0.035,0.112,-0.313,7.541e-01
NCT00915772,NCT00915772,b1,arm_f_2_uaa10431,0.101,0.873,0.115,9.081e-01
NCT00915772,NCT00915772,b1,arm_f_2_uaa10432,-1.032,0.929,-1.111,2.669e-01
NCT00915772,NCT00915772,b1,sex:age10,0.054,0.153,0.351,7.257e-01
NCT00915772,NCT00915772,b1,sex:arm_f_2_uaa10431,0.271,1.154,0.235,8.143e-01
NCT00915772,NCT00915772,b1,sex:arm_f_2_uaa10432,0.95,1.224,0.776,4.379e-01
NCT00915772,NCT00915772,b1,age10:arm_f_2_uaa10431,-0.008,0.152,-0.053,9.574e-01
NCT00915772,NCT00915772,b1,age10:arm_f_2_uaa10432,0.182,0.163,1.12,2.630e-01
NCT00915772,NCT00915772,b1,sex:age10:arm_f_2_uaa10431,-0.013,0.203,-0.066,9.477e-01
NCT00915772,NCT00915772,b1,sex:age10:arm_f_2_uaa10432,-0.203,0.216,-0.941,3.473e-01
NCT01438814,NCT01438814,b1,(Intercept),8.307,0.33,25.162,2.707e-99
NCT01438814,NCT01438814,b1,sex,0.048,0.481,0.1,9.200e-01
NCT01438814,NCT01438814,b1,age10,-0.064,0.062,-1.031,3.029e-01
NCT01438814,NCT01438814,b1,arm_f_2_uaa10774,0.327,0.476,0.687,4.925e-01
NCT01438814,NCT01438814,b1,sex:age10,-0.014,0.089,-0.155,8.772e-01
NCT01438814,NCT01438814,b1,sex:arm_f_2_uaa10774,-0.132,0.681,-0.193,8.467e-01
NCT01438814,NCT01438814,b1,age10:arm_f_2_uaa10774,-0.069,0.088,-0.779,4.361e-01
NCT01438814,NCT01438814,b1,sex:age10:arm_f_2_uaa10774,0.012,0.126,0.098,9.222e-01
NCT01215097,NCT01215097,b1,(Intercept),7.581,0.779,9.732,1.287e-19
NCT01215097,NCT01215097,b1,sex,-0.183,1.094,-0.167,8.672e-01
NCT01215097,NCT01215097,b1,age10,0.055,0.136,0.407,6.842e-01
NCT01215097,NCT01215097,b1,arm_f_2_uaa10696,0.141,0.904,0.156,8.764e-01
NCT01215097,NCT01215097,b1,sex:age10,0.075,0.192,0.391,6.962e-01
NCT01215097,NCT01215097,b1,sex:arm_f_2_uaa10696,0.493,1.255,0.393,6.948e-01
NCT01215097,NCT01215097,b1,age10:arm_f_2_uaa10696,0.007,0.158,0.045,9.645e-01
NCT01215097,NCT01215097,b1,sex:age10:arm_f_2_uaa10696,-0.162,0.221,-0.735,4.631e-01
