trials,nct_id,nct_id2,models,r.squared,adj.r.squared,sigma,statistic,p.value,df,logLik,AIC,BIC,deviance,df.residual,nobs,outcome,outcome_method
54,NCT00641043,NCT00641043,b1,0.01181,-0.006347,0.8394,0.6504,0.714,7,-479.8,977.6,1013,268.4,381,389,hba1c,baseline
54,NCT00621140,NCT00621140,b1,0.005987,-0.00807,0.8767,0.4259,0.8861,7,-643.5,1305,1343,380.5,495,503,hba1c,baseline
54,NCT00601250,NCT00601250,b1,0.01694,0.007013,0.8699,1.706,0.1044,7,-893,1804,1845,524.4,693,701,hba1c,baseline
54,NCT00602472,NCT00602472,b1,0.009433,0.002822,0.814,1.427,0.1905,7,-1278,2574,2619,695,1049,1057,hba1c,baseline
54,NCT00622284,NCT00622284,b1,0.005676,0.001168,0.8773,1.259,0.2671,7,-1995,4008,4056,1188,1544,1552,hba1c,baseline
54,NCT00654381,NCT00654381,b1,0.03173,0.005079,0.6814,1.191,0.2743,15,-572.7,1179,1253,253,545,561,hba1c,baseline
54,NCT00954447,NCT00954447,b1,0.007795,0.002221,0.8448,1.398,0.202,7,-1564,3146,3192,889.2,1246,1254,hba1c,baseline
54,NCT00798161,NCT00798161,b1,0.02919,8.115e-5,0.9501,1.003,0.4588,23,-1070,2189,2306,692.3,767,791,hba1c,baseline
54,NCT00915772,NCT00915772,b1,0.02425,0.004912,1.055,1.254,0.248,11,-828.9,1684,1740,617.8,555,567,hba1c,baseline
54,NCT01438814,NCT01438814,b1,0.0198,0.009724,0.8799,1.965,0.0574,7,-885.5,1789,1830,527.2,681,689,hba1c,baseline
54,NCT01215097,NCT01215097,b1,0.02003,-0.002989,0.831,0.8701,0.5304,7,-373.5,765,798.5,205.8,298,306,hba1c,baseline
54,NCT01214239,NCT01214239,b1,0.01952,-0.004069,0.8991,0.8275,0.5651,7,-388.4,794.8,828.1,235.3,291,299,hba1c,baseline
54,NCT01204294,NCT01204294,b1,0.1268,0.08361,0.7655,2.936,1.667e-6,27,-646.7,1351,1478,319.9,546,574,hba1c,baseline
54,NCT01792518,NCT01792518,b1,0.05719,0.03845,0.858,3.051,0.003956,7,-451.6,921.3,956.2,259.1,352,360,hba1c,baseline
54,NCT01210001,NCT01210001,b1,0.04139,0.0197,0.8697,1.908,0.03623,11,-631,1288,1343,367.6,486,498,hba1c,baseline
54,NCT01177813,NCT01177813,b1,0.01307,-0.003737,0.8277,0.7776,0.7036,15,-1095,2224,2306,603.6,881,897,hba1c,baseline
54,NCT01159600,NCT01159600,b1,0.01392,0.005611,0.8454,1.676,0.07348,11,-1643,3311,3379,933.3,1306,1318,hba1c,baseline
54,NCT01167881,NCT01167881,b1,0.01829,0.01382,0.8349,4.093,1.835e-4,7,-1911,3840,3888,1072,1538,1546,hba1c,baseline
54,NCT01164501,NCT01164501,b1,0.01374,-0.001184,0.8173,0.9207,0.5197,11,-893.4,1813,1873,485.6,727,739,hba1c,baseline
54,NCT01370005,NCT01370005,b1,0.02484,0.01165,0.731,1.883,0.03819,11,-906.1,1838,1899,434.5,813,825,hba1c,baseline
54,NCT01306214,NCT01306214,b1,0.04402,0.02493,0.7208,2.306,0.009098,11,-608.5,1243,1299,286.3,551,563,hba1c,baseline
54,NCT01368081,NCT01368081,b1,0.01693,0.01062,0.7741,2.683,0.009299,7,-1274,2566,2611,653.7,1091,1099,hba1c,baseline
54,NCT01422876,NCT01422876,b1,0.02499,0.01161,0.8999,1.868,0.01299,19,-1835,3713,3823,1122,1385,1405,hba1c,baseline
54,NCT01708902,NCT01708902,b1,0.01717,-0.009022,1.003,0.6555,0.8634,19,-1032,2106,2202,716.9,713,733,hba1c,baseline
54,NCT01064687,NCT01064687,b1,0.02474,0.009519,1.3,1.625,0.06116,15,-1634,3303,3386,1623,961,977,hba1c,baseline
54,NCT01126580,NCT01126580,b1,0.03991,0.02663,0.8527,3.004,6.193e-4,11,-1010,2047,2108,578,795,807,hba1c,baseline
54,NCT01624259,NCT01624259,b1,0.02914,0.01764,0.7881,2.534,0.01418,7,-703.2,1424,1464,367,591,599,hba1c,baseline
54,NCT01769378,NCT01769378,b1,0.02282,-6.035e-4,0.7141,0.9742,0.4501,7,-320.6,659.2,692.5,148.9,292,300,hba1c,baseline
54,NCT02152371,NCT02152371,b1,0.08812,0.06626,0.8161,4.031,3.115e-4,7,-360.7,739.3,772.7,194.5,292,300,hba1c,baseline
54,NCT02597049,NCT02597049,b1,0.05245,0.02702,0.6972,2.063,0.02195,11,-440.5,907,959.6,199.3,410,422,hba1c,baseline
54,NCT01606007,NCT01606007,b1,0.02797,0.007126,1.055,1.342,0.1977,11,-766.9,1560,1615,570.8,513,525,hba1c,baseline
54,NCT02284893,NCT02284893,b1,0.01132,-0.00536,0.8613,0.6786,0.6903,7,-533,1084,1120,307.8,415,423,hba1c,baseline
54,NCT02681094,NCT02681094,b1,0.01918,0.006849,0.9717,1.555,0.1069,11,-1227,2480,2542,826.2,875,887,hba1c,baseline
54,NCT02471404,NCT02471404,b1,0.01486,0.002707,0.5193,1.223,0.2669,11,-684.4,1395,1457,240.6,892,904,hba1c,baseline
54,NCT01217892,NCT01217892,b1,0.06773,0.03073,0.807,1.831,0.02906,15,-466.4,966.8,1034,246.2,378,394,hba1c,baseline
54,NCT00707993,NCT00707993,b1,0.02763,0.01191,0.6712,1.758,0.09408,7,-445.9,909.8,946.6,195.1,433,441,hba1c,baseline
54,NCT00856284,NCT00856284,b1,0.00699,0.002832,0.6058,1.681,0.07153,11,-2416,4857,4934,964,2627,2639,hba1c,baseline
54,NCT01289119,NCT01289119,b1,0.004694,-0.009324,0.8162,0.3349,0.9379,7,-609.9,1238,1276,331.1,497,505,hba1c,baseline
54,NCT00968708,NCT00968708,b1,0.02659,0.02532,1.085,20.94,5.242000000000001e-28,7,-8057,16130,16190,6311,5366,5374,hba1c,baseline
54,NCT00286429,NCT00286429,b1,0.06174,0.03385,1.082,2.214,0.01331,11,-566,1158,1209,433.1,370,382,hba1c,baseline
54,NCT01023581,NCT01023581,b1,0.0497,0.01571,0.762,1.462,0.0618,27,-883.9,1826,1961,438.4,755,783,hba1c,baseline
54,NCT01890122,NCT01890122,b1,0.02403,7.565e-4,0.7267,1.033,0.419,15,-701.2,1436,1512,332.2,629,645,hba1c,baseline
54,NCT00286442,NCT00286442,b1,0.02726,0.006032,0.7885,1.284,0.23,11,-603.5,1233,1288,313.3,504,516,hba1c,baseline
54,NCT00306384,NCT00306384,b1,0.004777,0.00221,0.8133,1.86,0.07201,7,-3294,6607,6660,1794,2713,2721,hba1c,baseline
54,NCT00286455,NCT00286455,b1,0.05501,0.02148,0.8119,1.64,0.08654,11,-383.7,793.4,842.4,204.3,310,322,hba1c,baseline
54,NCT00286468,NCT00286468,b1,0.01614,-0.006034,0.8619,0.7279,0.7119,11,-629.1,1284,1339,362.5,488,500,hba1c,baseline
54,NCT00286494,NCT00286494,b1,0.02553,0.00292,0.8618,1.129,0.336,11,-611.2,1248,1303,352,474,486,hba1c,baseline
54,NCT01778049,NCT01778049_b,b1,0.08121,0.05528,0.8881,3.131,0.003465,7,-328.8,675.6,707.5,195.6,248,256,hba1c,baseline
