trials,nct_id,nct_id2,models,r.squared,adj.r.squared,sigma,statistic,p.value,df,logLik,AIC,BIC,deviance,df.residual,nobs,outcome,outcome_method
54,NCT01778049,NCT01778049_a,b1,0.0511,0.02063,0.8111,1.677,0.1158,7,-269.3,556.6,587.4,143.4,218,226,hba1c,baseline
54,NCT02489968,NCT02489968,b1,0.05744,0.02464,0.6174,1.751,0.03932,15,-410.6,855.2,924.9,164.3,431,447,hba1c,baseline
54,NCT01734785,NCT01734785,b1,0.05445,0.02205,0.8299,1.68,0.07658,11,-404.3,834.6,884.1,221.1,321,333,hba1c,baseline
54,NCT01719003,NCT01719003,b1,0.04937,0.02718,1.195,2.225,1.404e-4,31,-2156,4378,4550,1896,1328,1360,hba1c,baseline
54,NCT01075282,NCT01075282,b1,0.05957,0.0467,0.9232,4.63,7.226e-7,11,-1087,2199,2260,685.3,804,816,hba1c,baseline
54,NCT01191268,NCT01191268,b1,0.01576,0.003342,1.051,1.269,0.2373,11,-1292,2611,2673,963.4,872,884,hba1c,baseline
54,NCT01621178,NCT01621178,b1,0.01964,4.813e-4,0.9753,1.025,0.4222,11,-795.5,1617,1674,535.6,563,575,hba1c,baseline
54,NCT00641043,NCT00641043,f1,0.239,0.235,0.9733,59.66,2.932e-23,2,-531.6,1071,1087,360,380,383,hba1c,locf
54,NCT00621140,NCT00621140,f1,0.2723,0.2694,0.888,92.45,7.868e-35,2,-644.7,1297,1314,389.6,494,497,hba1c,locf
54,NCT00601250,NCT00601250,f1,0.3357,0.3338,0.7918,174.4,5.11e-62,2,-820.1,1648,1666,432.6,690,693,hba1c,locf
54,NCT00602472,NCT00602472,f1,0.3326,0.3313,0.7856,260.7,1.4039999999999999e-92,2,-1234,2476,2495,645.5,1046,1049,hba1c,locf
54,NCT00622284,NCT00622284,f1,0.4806,0.4799,0.6567,707.8,2.3699999999999997e-218,2,-1529,3066,3087,659.8,1530,1533,hba1c,locf
54,NCT00654381,NCT00654381,f1,0.4938,0.4902,0.7924,135.6,8.702e-81,4,-663,1338,1364,349.1,556,561,hba1c,locf
54,NCT00954447,NCT00954447,f1,0.41,0.4091,0.7953,428.5,5.250999999999999e-142,2,-1469,2946,2967,779.8,1233,1236,hba1c,locf
54,NCT00798161,NCT00798161,f1,0.3604,0.3554,0.9155,71.38,1.647e-70,6,-1017,2050,2087,637,760,767,hba1c,locf
54,NCT00915772,NCT00915772,f1,0.4539,0.451,0.7942,155.2,3.421e-73,3,-668.3,1347,1368,353.2,560,564,hba1c,locf
54,NCT01438814,NCT01438814,f1,0.2762,0.2741,0.8015,129.4,2.516e-48,2,-814.1,1636,1654,435.6,678,681,hba1c,locf
54,NCT01215097,NCT01215097,f1,0.4241,0.4202,0.7228,109,3.4129999999999996e-36,2,-325.7,659.4,674.2,154.6,296,299,hba1c,locf
54,NCT01214239,NCT01214239,f1,0.3272,0.3225,0.8495,70.51,1.113e-25,2,-366.4,740.9,755.6,209.3,290,293,hba1c,locf
54,NCT01204294,NCT01204294,f1,0.4064,0.399,0.602,55.15,5.9e-60,7,-517.3,1053,1092,204.4,564,572,hba1c,locf
54,NCT01792518,NCT01792518,f1,0.3977,0.3942,0.8084,116.2,1.79e-39,2,-426.7,861.4,876.9,230,352,355,hba1c,locf
54,NCT01210001,NCT01210001,f1,0.2975,0.2932,0.8366,68.33,7.396e-37,3,-603.4,1217,1238,338.8,484,488,hba1c,locf
54,NCT01177813,NCT01177813,f1,0.3355,0.3325,0.7505,109.4,1.623e-75,4,-984.5,1981,2010,488.3,867,872,hba1c,locf
54,NCT01159600,NCT01159600,f1,0.3634,0.3619,0.7005,245.8,3.434e-126,3,-1376,2761,2787,633.9,1292,1296,hba1c,locf
54,NCT01167881,NCT01167881,f1,0.3683,0.3675,0.7905,446,2.42e-153,2,-1813,3635,3656,956.1,1530,1533,hba1c,locf
54,NCT01164501,NCT01164501,f1,0.4558,0.4535,0.7247,199.9,3.728e-94,3,-787.8,1586,1609,376.1,716,720,hba1c,locf
54,NCT01370005,NCT01370005,f1,0.4974,0.4956,0.6004,268.2,5.47e-121,3,-740.5,1491,1514,293.1,813,817,hba1c,locf
54,NCT01306214,NCT01306214,f1,0.3212,0.3176,0.7555,87.71,1.766e-46,3,-635.6,1281,1303,317.3,556,560,hba1c,locf
54,NCT01368081,NCT01368081,f1,0.3414,0.3402,0.6031,283.5,6.210999999999999e-100,2,-1000,2009,2029,397.9,1094,1097,hba1c,locf
54,NCT01422876,NCT01422876,f1,0.3571,0.3548,0.8082,153.5,7.984999999999999e-130,5,-1671,3356,3393,902.8,1382,1388,hba1c,locf
54,NCT01708902,NCT01708902,f1,0.2264,0.2209,1.001,41.16,3.4799999999999997e-37,5,-1004,2021,2053,704.2,703,709,hba1c,locf
54,NCT01064687,NCT01064687,f1,0.3609,0.3583,0.8649,135,1.934e-91,4,-1222,2455,2484,715.2,956,961,hba1c,locf
54,NCT01126580,NCT01126580,f1,0.2729,0.2702,0.8574,99.35,1.3119999999999998e-54,3,-1008,2025,2049,583.8,794,798,hba1c,locf
54,NCT01624259,NCT01624259,f1,0.1898,0.1871,0.842,68.88,1.331e-27,2,-735.4,1479,1496,416.8,588,591,hba1c,locf
54,NCT01769378,NCT01769378,f1,0.2907,0.2859,1.024,60.26,1.173e-22,2,-426.9,861.9,876.7,308.2,294,297,hba1c,locf
54,NCT02152371,NCT02152371,f1,0.3013,0.2966,0.9197,63.62,1.0679999999999999e-23,2,-396.4,800.8,815.6,249.5,295,298,hba1c,locf
54,NCT02597049,NCT02597049,f1,0.3944,0.39,0.7149,89.45,1.368e-44,3,-448.7,907.3,927.5,210.6,412,416,hba1c,locf
54,NCT01606007,NCT01606007,f1,0.1223,0.1171,1.154,23.73,2.158e-14,3,-802.4,1615,1636,680.2,511,515,hba1c,locf
54,NCT02284893,NCT02284893,f1,0.1714,0.1674,1.068,42.62,1.5e-17,2,-614.6,1237,1253,469.8,412,415,hba1c,locf
54,NCT02681094,NCT02681094,f1,0.1852,0.1824,0.9306,66.08,1.662e-38,3,-1178,2366,2390,755.2,872,876,hba1c,locf
54,NCT02471404,NCT02471404,f1,0.05697,0.05382,0.7799,18.08,2.123e-11,3,-1054,2117,2141,546.2,898,902,hba1c,locf
54,NCT01217892,NCT01217892,f1,0.2647,0.2571,0.6605,34.92,6.522e-25,4,-392.1,796.2,820.1,169.3,388,393,hba1c,locf
54,NCT00707993,NCT00707993,f1,0.4651,0.4626,0.5577,187.8,2.059e-59,2,-361.7,731.5,747.8,134.4,432,435,hba1c,locf
54,NCT00856284,NCT00856284,f1,0.3481,0.3474,0.6358,465.6,2.1299999999999997e-242,3,-2529,5069,5098,1058,2616,2620,hba1c,locf
54,NCT01289119,NCT01289119,f1,0.4851,0.483,0.6566,230.4,3.2529999999999997e-71,2,-489.6,987.3,1004,210.8,489,492,hba1c,locf
54,NCT00968708,NCT00968708,f1,0.4439,0.4437,1.012,2107,0,2,-7554,15120,15140,5402,5279,5282,hba1c,locf
54,NCT00286429,NCT00286429,f1,0.5438,0.5402,0.87,150.2,4.3820000000000004e-64,3,-486.8,983.6,1003,286.1,378,382,hba1c,locf
54,NCT01023581,NCT01023581,f1,0.2885,0.2819,0.8913,43.78,5.217e-52,7,-992.1,2002,2044,600.6,756,764,hba1c,locf
54,NCT01890122,NCT01890122,f1,0.3058,0.3015,0.9014,70.16,3.1640000000000002e-49,4,-841.8,1696,1722,517.5,637,642,hba1c,locf
54,NCT00286442,NCT00286442,f1,0.4151,0.4117,0.7649,121.1,2.759e-59,3,-591.9,1194,1215,299.5,512,516,hba1c,locf
54,NCT00306384,NCT00306384,f1,0.2099,0.2093,1.06,358.2,1.072e-138,2,-3986,7980,8004,3028,2697,2700,hba1c,locf
54,NCT00286455,NCT00286455,f1,0.4378,0.4324,0.7509,82.53,1.641e-39,3,-362.6,735.3,754.1,179.3,318,322,hba1c,locf
54,NCT00286468,NCT00286468,f1,0.4515,0.4482,0.7291,135,8.16e-64,3,-545.1,1100,1121,261.5,492,496,hba1c,locf
54,NCT00286494,NCT00286494,f1,0.3951,0.3913,0.7884,104.9,2.687e-52,3,-572.1,1154,1175,299.6,482,486,hba1c,locf
54,NCT01778049,NCT01778049_b,f1,0.3565,0.3514,0.736,69.26,1.164e-24,2,-279.9,567.9,582,135.4,250,253,hba1c,locf
54,NCT01778049,NCT01778049_a,f1,0.4262,0.421,0.661,82.09,2.191e-27,2,-223.6,455.2,468.8,96.55,221,224,hba1c,locf
54,NCT02489968,NCT02489968,f1,0.555,0.551,0.5305,137.8,2.35e-76,4,-348.4,708.8,733.4,124.4,442,447,hba1c,locf
54,NCT01734785,NCT01734785,f1,0.3088,0.3024,0.8845,48.11,9.956000000000001e-26,3,-421.8,853.7,872.6,252.7,323,327,hba1c,locf
54,NCT01719003,NCT01719003,f1,0.2887,0.2844,1.074,67.41,6.0849999999999995e-93,8,-1990,3999,4051,1533,1329,1338,hba1c,locf
54,NCT01075282,NCT01075282,f1,0.4599,0.4579,0.7618,226.8,2.0419999999999996e-106,3,-918.9,1848,1871,463.7,799,803,hba1c,locf
54,NCT01191268,NCT01191268,f1,0.1311,0.1281,1.01,42.72,1.0280000000000001e-25,3,-1217,2444,2467,866.1,849,853,hba1c,locf
54,NCT01621178,NCT01621178,f1,0.232,0.2278,0.9648,54.49,8.686e-31,3,-751.8,1514,1535,503.6,541,545,hba1c,locf
54,NCT00641043,NCT00641043,f2,0.241,0.233,0.9745,30.01,1.073e-21,4,-531,1074,1098,359,378,383,hba1c,locf
54,NCT00621140,NCT00621140,f2,0.2786,0.2728,0.886,47.51,8.918e-34,4,-642.5,1297,1322,386.2,492,497,hba1c,locf
54,NCT00601250,NCT00601250,f2,0.3398,0.336,0.7905,88.53,1.0849999999999999e-60,4,-817.9,1648,1675,429.9,688,693,hba1c,locf
54,NCT00602472,NCT00602472,f2,0.3396,0.337,0.7822,134.2,1.594e-92,4,-1228,2469,2498,638.8,1044,1049,hba1c,locf
54,NCT00622284,NCT00622284,f2,0.4817,0.4804,0.6564,355.1,2.995e-216,4,-1527,3067,3099,658.3,1528,1533,hba1c,locf
54,NCT00654381,NCT00654381,f2,0.4947,0.4874,0.7946,67.55,6.631e-77,8,-662.5,1345,1388,348.5,552,561,hba1c,locf
54,NCT00954447,NCT00954447,f2,0.4123,0.4104,0.7944,215.9,2.051e-140,4,-1467,2946,2976,776.8,1231,1236,hba1c,locf
54,NCT00798161,NCT00798161,f2,0.3629,0.3528,0.9173,35.79,6.500999999999999e-66,12,-1016,2059,2124,634.5,754,767,hba1c,locf
54,NCT00915772,NCT00915772,f2,0.4633,0.4575,0.7895,80.13,4.633e-72,6,-663.5,1343,1378,347.2,557,564,hba1c,locf
54,NCT01438814,NCT01438814,f2,0.2772,0.2729,0.8022,64.82,2.0929999999999998e-46,4,-813.7,1639,1666,435,676,681,hba1c,locf
54,NCT01215097,NCT01215097,f2,0.4276,0.4198,0.723,54.91,1.535e-34,4,-324.8,661.6,683.8,153.7,294,299,hba1c,locf
54,NCT01214239,NCT01214239,f2,0.3337,0.3244,0.8483,36.05,2.0119999999999998e-24,4,-365,742,764.1,207.2,288,293,hba1c,locf
54,NCT01204294,NCT01204294,f2,0.4253,0.4108,0.596,29.44,4.351e-58,14,-508,1048,1118,197.9,557,572,hba1c,locf
54,NCT01792518,NCT01792518,f2,0.4129,0.4062,0.8004,61.55,2.429e-39,4,-422.1,856.3,879.5,224.2,350,355,hba1c,locf
54,NCT01210001,NCT01210001,f2,0.3114,0.3028,0.8309,36.25,3.1159999999999995e-36,6,-598.5,1213,1247,332.1,481,488,hba1c,locf
54,NCT01177813,NCT01177813,f2,0.3434,0.3373,0.7477,56.42,8.2e-74,8,-979.3,1979,2026,482.5,863,872,hba1c,locf
54,NCT01159600,NCT01159600,f2,0.3703,0.3674,0.6975,126.3,9.7330000000000007e-126,6,-1368,2753,2794,627,1289,1296,hba1c,locf
54,NCT01167881,NCT01167881,f2,0.3794,0.3778,0.7841,233.5,1.4939999999999997e-156,4,-1800,3612,3644,939.3,1528,1533,hba1c,locf
54,NCT01164501,NCT01164501,f2,0.4591,0.4545,0.724,100.9,9.938e-92,6,-785.6,1587,1624,373.8,713,720,hba1c,locf
54,NCT01370005,NCT01370005,f2,0.5085,0.5048,0.5949,139.7,2.556e-121,6,-731.4,1479,1516,286.6,810,817,hba1c,locf
54,NCT01306214,NCT01306214,f2,0.3233,0.3159,0.7564,44.02,5.311e-44,6,-634.7,1285,1320,316.4,553,560,hba1c,locf
54,NCT01368081,NCT01368081,f2,0.346,0.3436,0.6015,144.4,3.782e-99,4,-996.4,2005,2035,395.1,1092,1097,hba1c,locf
54,NCT01422876,NCT01422876,f2,0.3596,0.355,0.8081,77.33,8.634e-126,10,-1668,3360,3423,899.2,1377,1388,hba1c,locf
54,NCT01708902,NCT01708902,f2,0.2295,0.2185,1.002,20.79,5.498e-34,10,-1002,2028,2083,701.4,698,709,hba1c,locf
54,NCT01064687,NCT01064687,f2,0.3692,0.3639,0.8611,69.66,5.031e-90,8,-1215,2451,2499,705.9,952,961,hba1c,locf
54,NCT01126580,NCT01126580,f2,0.2818,0.2763,0.8538,51.72,9.055999999999997e-54,6,-1003,2021,2059,576.7,791,798,hba1c,locf
54,NCT01624259,NCT01624259,f2,0.1902,0.1847,0.8432,34.42,7.983000000000001e-26,4,-735.3,1483,1509,416.6,586,591,hba1c,locf
54,NCT01769378,NCT01769378,f2,0.3173,0.308,1.008,33.94,2.9389999999999996e-23,4,-421.3,854.5,876.7,296.7,292,297,hba1c,locf
54,NCT02152371,NCT02152371,f2,0.3146,0.3052,0.914,33.62,4.371e-23,4,-393.5,799.1,821.3,244.8,293,298,hba1c,locf
54,NCT02597049,NCT02597049,f2,0.3956,0.3867,0.7168,44.62,6.441e-42,6,-448.3,912.5,944.8,210.2,409,416,hba1c,locf
54,NCT01606007,NCT01606007,f2,0.127,0.1167,1.154,12.32,5.802e-13,6,-801,1618,1652,676.6,508,515,hba1c,locf
54,NCT02284893,NCT02284893,f2,0.1929,0.185,1.056,24.5,3.376e-18,4,-609.2,1230,1254,457.6,410,415,hba1c,locf
54,NCT02681094,NCT02681094,f2,0.1903,0.1847,0.9293,34.03,5.27e-37,6,-1175,2367,2405,750.5,869,876,hba1c,locf
54,NCT02471404,NCT02471404,f2,0.06155,0.05526,0.7793,9.784,1.841e-10,6,-1051,2119,2157,543.5,895,902,hba1c,locf
54,NCT01217892,NCT01217892,f2,0.2757,0.2606,0.6589,18.27,3.4069999999999996e-23,8,-389.2,798.3,838.1,166.7,384,393,hba1c,locf
54,NCT00707993,NCT00707993,f2,0.4668,0.4618,0.5581,94.09,1.977e-57,4,-361.1,734.1,758.6,134,430,435,hba1c,locf
54,NCT00856284,NCT00856284,f2,0.3534,0.3519,0.6336,238,4.1e-243,6,-2519,5053,5100,1049,2613,2620,hba1c,locf
54,NCT01289119,NCT01289119,f2,0.4855,0.4813,0.6577,114.9,6.224e-69,4,-489.5,990.9,1016,210.7,487,492,hba1c,locf
54,NCT00968708,NCT00968708,f2,0.4473,0.4469,1.009,1068,0,4,-7538,15090,15130,5369,5277,5282,hba1c,locf
54,NCT00286429,NCT00286429,f2,0.5519,0.5447,0.8656,76.98,2.347e-62,6,-483.4,982.8,1014,281,375,382,hba1c,locf
54,NCT01023581,NCT01023581,f2,0.2951,0.2819,0.8913,22.4,3.735e-48,14,-988.6,2009,2083,595,749,764,hba1c,locf
54,NCT01890122,NCT01890122,f2,0.3121,0.3035,0.9001,35.91,6.181999999999999e-47,8,-838.9,1698,1742,512.8,633,642,hba1c,locf
54,NCT00286442,NCT00286442,f2,0.4241,0.4173,0.7612,62.46,6.157e-58,6,-587.9,1192,1226,294.9,509,516,hba1c,locf
54,NCT00306384,NCT00306384,f2,0.227,0.2259,1.048,197.9,5.9289999999999996e-149,4,-3956,7925,7960,2963,2695,2700,hba1c,locf
54,NCT00286455,NCT00286455,f2,0.452,0.4415,0.7448,43.3,1.908e-38,6,-358.5,733,763.2,174.8,315,322,hba1c,locf
54,NCT00286468,NCT00286468,f2,0.4797,0.4733,0.7123,75.15,2.933e-66,6,-532,1080,1114,248.1,489,496,hba1c,locf
54,NCT00286494,NCT00286494,f2,0.4,0.3925,0.7876,53.23,3.408e-50,6,-570.1,1156,1190,297.2,479,486,hba1c,locf
54,NCT01778049,NCT01778049_b,f2,0.3622,0.3519,0.7357,35.21,2.771e-23,4,-278.8,569.6,590.8,134.2,248,253,hba1c,locf
54,NCT01778049,NCT01778049_a,f2,0.4279,0.4175,0.663,40.95,1.3230000000000002e-25,4,-223.3,458.5,479,96.27,219,224,hba1c,locf
54,NCT02489968,NCT02489968,f2,0.5589,0.5508,0.5307,69.36,4.5949999999999995e-73,8,-346.5,713,754,123.3,438,447,hba1c,locf
54,NCT01734785,NCT01734785,f2,0.3121,0.2992,0.8865,24.2,1.322e-23,6,-421.1,858.2,888.5,251.5,320,327,hba1c,locf
54,NCT01719003,NCT01719003,f2,0.2951,0.2866,1.072,34.57,1.088e-88,16,-1984,4003,4097,1519,1321,1338,hba1c,locf
54,NCT01075282,NCT01075282,f2,0.4763,0.4723,0.7516,120.6,2.9179999999999998e-108,6,-906.5,1829,1867,449.6,796,803,hba1c,locf
54,NCT01191268,NCT01191268,f2,0.1335,0.1274,1.01,21.73,7.678e-24,6,-1216,2447,2485,863.7,846,853,hba1c,locf
54,NCT01621178,NCT01621178,f2,0.2365,0.228,0.9647,27.78,6.26e-29,6,-750.2,1516,1551,500.7,538,545,hba1c,locf
54,NCT00641043,NCT00641043,f3,0.2479,0.24,0.9701,31.16,1.956e-22,4,-529.3,1071,1094,355.7,378,383,hba1c,locf
54,NCT00621140,NCT00621140,f3,0.2728,0.2669,0.8896,46.13,6.377e-33,4,-644.5,1301,1326,389.3,492,497,hba1c,locf
54,NCT00601250,NCT00601250,f3,0.3359,0.332,0.7929,87,8.223e-60,4,-820,1652,1679,432.5,688,693,hba1c,locf
54,NCT00602472,NCT00602472,f3,0.3333,0.3307,0.786,130.5,2.217e-90,4,-1233,2479,2508,644.9,1044,1049,hba1c,locf
54,NCT00622284,NCT00622284,f3,0.4836,0.4822,0.6552,357.7,1.997e-217,4,-1525,3061,3093,656,1528,1533,hba1c,locf
54,NCT00654381,NCT00654381,f3,0.4968,0.4895,0.7929,68.13,2.081e-77,8,-661.3,1343,1386,347.1,552,561,hba1c,locf
54,NCT00954447,NCT00954447,f3,0.4164,0.4145,0.7916,219.6,2.7549999999999997e-142,4,-1462,2937,2968,771.4,1231,1236,hba1c,locf
54,NCT00798161,NCT00798161,f3,0.3689,0.3589,0.913,36.73,1.977e-67,12,-1012,2052,2117,628.5,754,767,hba1c,locf
54,NCT00915772,NCT00915772,f3,0.4573,0.4514,0.7939,78.21,9.987e-71,6,-666.6,1349,1384,351.1,557,564,hba1c,locf
54,NCT01438814,NCT01438814,f3,0.2774,0.2731,0.8021,64.88,1.9209999999999998e-46,4,-813.6,1639,1666,434.9,676,681,hba1c,locf
54,NCT01215097,NCT01215097,f3,0.4255,0.4176,0.7244,54.43,2.645e-34,4,-325.3,662.7,684.9,154.3,294,299,hba1c,locf
54,NCT01214239,NCT01214239,f3,0.3272,0.3179,0.8524,35.02,7.89e-24,4,-366.4,744.9,766.9,209.3,288,293,hba1c,locf
54,NCT01204294,NCT01204294,f3,0.4119,0.3971,0.6029,27.86,2.219e-55,14,-514.6,1061,1131,202.5,557,572,hba1c,locf
54,NCT01792518,NCT01792518,f3,0.398,0.3911,0.8105,57.85,1.894e-37,4,-426.6,865.2,888.4,229.9,350,355,hba1c,locf
54,NCT01210001,NCT01210001,f3,0.3001,0.2914,0.8377,34.38,1.424e-34,6,-602.5,1221,1254,337.5,481,488,hba1c,locf
54,NCT01177813,NCT01177813,f3,0.3364,0.3302,0.7517,54.68,7.471000000000001e-72,8,-983.9,1988,2036,487.7,863,872,hba1c,locf
54,NCT01159600,NCT01159600,f3,0.3745,0.3716,0.6951,128.6,1.38e-127,6,-1364,2744,2786,622.9,1289,1296,hba1c,locf
54,NCT01167881,NCT01167881,f3,0.369,0.3673,0.7906,223.4,4.860999999999999e-151,4,-1813,3637,3669,955.1,1528,1533,hba1c,locf
54,NCT01164501,NCT01164501,f3,0.4573,0.4527,0.7252,100.1,3.197e-91,6,-786.8,1590,1626,375,713,720,hba1c,locf
54,NCT01370005,NCT01370005,f3,0.507,0.5033,0.5958,138.8,8.749e-121,6,-732.7,1481,1519,287.5,810,817,hba1c,locf
