trials,nct_id,models,term,estimate,std.error,outcome,nct_id2,outcome_method
48,NCT00601250,glm,(Intercept),-9.205,4.343,ae_sae,,incident_event
48,NCT00601250,glm,age10,-0.041,0.669,ae_sae,,incident_event
48,NCT00601250,glm,arm_f_2_uaa10222,0.227,5.177,ae_sae,,incident_event
48,NCT00601250,glm,sex,1.499,2.196,ae_sae,,incident_event
48,NCT00601250,glm,age10:arm_f_2_uaa10222,0.176,0.819,ae_sae,,incident_event
48,NCT00601250,glm,arm_f_2_uaa10222:sex,-1.957,2.389,ae_sae,,incident_event
48,NCT00602472,glm,(Intercept),-11.41,4.458,ae_sae,,incident_event
48,NCT00602472,glm,age10,0.558,0.71,ae_sae,,incident_event
48,NCT00602472,glm,arm_f_2_uaa10225,3.191,4.886,ae_sae,,incident_event
48,NCT00602472,glm,sex,-0.483,1.223,ae_sae,,incident_event
48,NCT00602472,glm,age10:arm_f_2_uaa10225,-0.574,0.784,ae_sae,,incident_event
48,NCT00602472,glm,arm_f_2_uaa10225:sex,0.677,1.39,ae_sae,,incident_event
48,NCT00622284,glm,(Intercept),-9.658,2.326,ae_sae,,incident_event
48,NCT00622284,glm,age10,0.215,0.372,ae_sae,,incident_event
48,NCT00622284,glm,arm_f_2_uaa10247,0.1,3.461,ae_sae,,incident_event
48,NCT00622284,glm,sex,0.118,0.697,ae_sae,,incident_event
48,NCT00622284,glm,age10:arm_f_2_uaa10247,-0.003,0.548,ae_sae,,incident_event
48,NCT00622284,glm,arm_f_2_uaa10247:sex,-0.419,1.004,ae_sae,,incident_event
48,NCT00954447,glm,(Intercept),-13.105,4.045,ae_sae,,incident_event
48,NCT00954447,glm,age10,0.616,0.592,ae_sae,,incident_event
48,NCT00954447,glm,arm_f_2_uaa10443,4.37,5.206,ae_sae,,incident_event
48,NCT00954447,glm,sex,0.833,1.141,ae_sae,,incident_event
48,NCT00954447,glm,age10:arm_f_2_uaa10443,-0.626,0.796,ae_sae,,incident_event
48,NCT00954447,glm,arm_f_2_uaa10443:sex,-0.757,1.551,ae_sae,,incident_event
48,NCT00798161,glm,(Intercept),-1119.571,203568.491,ae_sae,,incident_event
48,NCT00798161,glm,age10,142.948,26098.524,ae_sae,,incident_event
48,NCT00798161,glm,arm_f_2_uaa10361,1111.117,203568.491,ae_sae,,incident_event
48,NCT00798161,glm,arm_f_2_uaa10362,1108.36,203568.491,ae_sae,,incident_event
48,NCT00798161,glm,arm_f_2_uaa10363,1108.318,203568.491,ae_sae,,incident_event
48,NCT00798161,glm,arm_f_2_uaa10364,1109.625,203568.491,ae_sae,,incident_event
48,NCT00798161,glm,arm_f_2_uaa10365,1112.745,203568.491,ae_sae,,incident_event
48,NCT00798161,glm,sex,85.224,15659.117,ae_sae,,incident_event
48,NCT00798161,glm,age10:arm_f_2_uaa10361,-142.838,26098.525,ae_sae,,incident_event
48,NCT00798161,glm,age10:arm_f_2_uaa10362,-142.498,26098.525,ae_sae,,incident_event
48,NCT00798161,glm,age10:arm_f_2_uaa10363,-142.383,26098.525,ae_sae,,incident_event
48,NCT00798161,glm,age10:arm_f_2_uaa10364,-142.591,26098.525,ae_sae,,incident_event
48,NCT00798161,glm,age10:arm_f_2_uaa10365,-143.193,26098.525,ae_sae,,incident_event
48,NCT00798161,glm,arm_f_2_uaa10361:sex,-85.458,15659.117,ae_sae,,incident_event
48,NCT00798161,glm,arm_f_2_uaa10362:sex,-84.152,15659.117,ae_sae,,incident_event
48,NCT00798161,glm,arm_f_2_uaa10363:sex,-85.594,15659.117,ae_sae,,incident_event
48,NCT00798161,glm,arm_f_2_uaa10364:sex,-84.781,15659.117,ae_sae,,incident_event
48,NCT00798161,glm,arm_f_2_uaa10365:sex,-85.278,15659.117,ae_sae,,incident_event
48,NCT00915772,glm,(Intercept),-11.027,2.736,ae_sae,,incident_event
48,NCT00915772,glm,age10,0.592,0.43,ae_sae,,incident_event
48,NCT00915772,glm,arm_f_2_uaa10431,1.561,3.457,ae_sae,,incident_event
48,NCT00915772,glm,arm_f_2_uaa10432,-0.277,3.6,ae_sae,,incident_event
48,NCT00915772,glm,sex,-0.962,0.938,ae_sae,,incident_event
48,NCT00915772,glm,age10:arm_f_2_uaa10431,-0.289,0.553,ae_sae,,incident_event
48,NCT00915772,glm,age10:arm_f_2_uaa10432,0.058,0.569,ae_sae,,incident_event
48,NCT00915772,glm,arm_f_2_uaa10431:sex,0.753,1.173,ae_sae,,incident_event
48,NCT00915772,glm,arm_f_2_uaa10432:sex,0.873,1.175,ae_sae,,incident_event
48,NCT01204294,glm,(Intercept),-7.303,4.342,ae_sae,,incident_event
48,NCT01204294,glm,age10,-0.224,0.604,ae_sae,,incident_event
48,NCT01204294,glm,arm_f_2_uaa10681,-1.68,6.595,ae_sae,,incident_event
48,NCT01204294,glm,arm_f_2_uaa10682,3.753,6.431,ae_sae,,incident_event
48,NCT01204294,glm,arm_f_2_uaa10683,-6.523,7.459,ae_sae,,incident_event
48,NCT01204294,glm,arm_f_2_uaa10684,-1.247,5.699,ae_sae,,incident_event
48,NCT01204294,glm,arm_f_2_uaa10685,-21.274,1573.79,ae_sae,,incident_event
48,NCT01204294,glm,arm_f_2_uaa10686,-0.785,7.464,ae_sae,,incident_event
48,NCT01204294,glm,sex,1.094,2.176,ae_sae,,incident_event
48,NCT01204294,glm,age10:arm_f_2_uaa10681,0.355,0.954,ae_sae,,incident_event
48,NCT01204294,glm,age10:arm_f_2_uaa10682,-0.365,0.989,ae_sae,,incident_event
48,NCT01204294,glm,age10:arm_f_2_uaa10683,1.016,1.05,ae_sae,,incident_event
48,NCT01204294,glm,age10:arm_f_2_uaa10684,0.189,0.801,ae_sae,,incident_event
48,NCT01204294,glm,age10:arm_f_2_uaa10685,1.093,1.848,ae_sae,,incident_event
48,NCT01204294,glm,age10:arm_f_2_uaa10686,0.224,1.117,ae_sae,,incident_event
48,NCT01204294,glm,arm_f_2_uaa10681:sex,-1.158,2.642,ae_sae,,incident_event
48,NCT01204294,glm,arm_f_2_uaa10682:sex,-2.056,2.564,ae_sae,,incident_event
48,NCT01204294,glm,arm_f_2_uaa10683:sex,0.286,2.778,ae_sae,,incident_event
48,NCT01204294,glm,arm_f_2_uaa10684:sex,-0.413,2.684,ae_sae,,incident_event
48,NCT01204294,glm,arm_f_2_uaa10685:sex,12.711,1573.743,ae_sae,,incident_event
48,NCT01204294,glm,arm_f_2_uaa10686:sex,-1.52,2.888,ae_sae,,incident_event
48,NCT01792518,glm,(Intercept),-10.295,7.897,ae_sae,,incident_event
48,NCT01792518,glm,age10,0.351,1.248,ae_sae,,incident_event
48,NCT01792518,glm,arm_f_2_uaa10927,5.205,8.911,ae_sae,,incident_event
48,NCT01792518,glm,sex,-0.115,2.228,ae_sae,,incident_event
48,NCT01792518,glm,age10:arm_f_2_uaa10927,-0.707,1.428,ae_sae,,incident_event
48,NCT01792518,glm,arm_f_2_uaa10927:sex,-0.331,2.672,ae_sae,,incident_event
48,NCT01210001,glm,(Intercept),-7.598,6.793,ae_sae,,incident_event
48,NCT01210001,glm,age10,-0.013,1.236,ae_sae,,incident_event
48,NCT01210001,glm,arm_f_2_uaa10689,-3.572,10.848,ae_sae,,incident_event
48,NCT01210001,glm,arm_f_2_uaa10690,-6.027,14.105,ae_sae,,incident_event
48,NCT01210001,glm,sex,-1.71,4.034,ae_sae,,incident_event
48,NCT01210001,glm,age10:arm_f_2_uaa10689,0.423,1.84,ae_sae,,incident_event
48,NCT01210001,glm,age10:arm_f_2_uaa10690,0.924,2.39,ae_sae,,incident_event
48,NCT01210001,glm,arm_f_2_uaa10689:sex,2.674,5.118,ae_sae,,incident_event
48,NCT01210001,glm,arm_f_2_uaa10690:sex,1.658,5.08,ae_sae,,incident_event
48,NCT01177813,glm,(Intercept),-14.213,6.125,ae_sae,,incident_event
48,NCT01177813,glm,age10,0.963,0.887,ae_sae,,incident_event
48,NCT01177813,glm,arm_f_2_uaa10644,5.262,7.409,ae_sae,,incident_event
48,NCT01177813,glm,arm_f_2_uaa10645,2.695,8.373,ae_sae,,incident_event
48,NCT01177813,glm,arm_f_2_uaa10647,2.996,9.092,ae_sae,,incident_event
48,NCT01177813,glm,sex,-0.706,2.049,ae_sae,,incident_event
48,NCT01177813,glm,age10:arm_f_2_uaa10644,-0.782,1.116,ae_sae,,incident_event
48,NCT01177813,glm,age10:arm_f_2_uaa10645,-0.481,1.273,ae_sae,,incident_event
48,NCT01177813,glm,age10:arm_f_2_uaa10647,-0.545,1.414,ae_sae,,incident_event
48,NCT01177813,glm,arm_f_2_uaa10644:sex,-0.031,2.584,ae_sae,,incident_event
48,NCT01177813,glm,arm_f_2_uaa10645:sex,0.854,2.886,ae_sae,,incident_event
48,NCT01177813,glm,arm_f_2_uaa10647:sex,0.599,2.962,ae_sae,,incident_event
48,NCT01159600,glm,(Intercept),-12.137,2.442,ae_sae,,incident_event
48,NCT01159600,glm,age10,0.685,0.388,ae_sae,,incident_event
48,NCT01159600,glm,arm_f_2_uaa10627,4.377,3.264,ae_sae,,incident_event
48,NCT01159600,glm,arm_f_2_uaa10628,1.951,4.768,ae_sae,,incident_event
48,NCT01159600,glm,sex,0.114,0.672,ae_sae,,incident_event
48,NCT01159600,glm,age10:arm_f_2_uaa10627,-0.75,0.543,ae_sae,,incident_event
48,NCT01159600,glm,age10:arm_f_2_uaa10628,-0.524,0.791,ae_sae,,incident_event
48,NCT01159600,glm,arm_f_2_uaa10627:sex,-0.396,0.995,ae_sae,,incident_event
48,NCT01159600,glm,arm_f_2_uaa10628:sex,-0.34,1.467,ae_sae,,incident_event
48,NCT01167881,glm,(Intercept),-9.616,1.905,ae_sae,,incident_event
48,NCT01167881,glm,age10,0.125,0.327,ae_sae,,incident_event
48,NCT01167881,glm,arm_f_2_uaa10635,0.371,2.578,ae_sae,,incident_event
48,NCT01167881,glm,sex,-0.248,0.655,ae_sae,,incident_event
48,NCT01167881,glm,age10:arm_f_2_uaa10635,-0.055,0.441,ae_sae,,incident_event
48,NCT01167881,glm,arm_f_2_uaa10635:sex,0.324,0.879,ae_sae,,incident_event
48,NCT01164501,glm,(Intercept),-8.151,3.677,ae_sae,,incident_event
48,NCT01164501,glm,age10,0.002,0.565,ae_sae,,incident_event
48,NCT01164501,glm,arm_f_2_uaa10631,-32.722,1786.123,ae_sae,,incident_event
48,NCT01164501,glm,arm_f_2_uaa10632,-0.151,4.978,ae_sae,,incident_event
48,NCT01164501,glm,sex,-0.279,0.951,ae_sae,,incident_event
48,NCT01164501,glm,age10:arm_f_2_uaa10631,2.554,3.97,ae_sae,,incident_event
48,NCT01164501,glm,age10:arm_f_2_uaa10632,0.015,0.762,ae_sae,,incident_event
48,NCT01164501,glm,arm_f_2_uaa10631:sex,13.78,1785.899,ae_sae,,incident_event
48,NCT01164501,glm,arm_f_2_uaa10632:sex,0.299,1.319,ae_sae,,incident_event
48,NCT01306214,glm,(Intercept),-14.779,7.937,ae_sae,,incident_event
48,NCT01306214,glm,age10,0.911,1.25,ae_sae,,incident_event
48,NCT01306214,glm,arm_f_2_uaa10725,6.344,9.776,ae_sae,,incident_event
48,NCT01306214,glm,arm_f_2_uaa10726,6.089,9.309,ae_sae,,incident_event
48,NCT01306214,glm,sex,0.61,1.986,ae_sae,,incident_event
48,NCT01306214,glm,age10:arm_f_2_uaa10725,-0.997,1.596,ae_sae,,incident_event
48,NCT01306214,glm,age10:arm_f_2_uaa10726,-0.98,1.494,ae_sae,,incident_event
48,NCT01306214,glm,arm_f_2_uaa10725:sex,-0.428,2.644,ae_sae,,incident_event
48,NCT01306214,glm,arm_f_2_uaa10726:sex,0.241,2.57,ae_sae,,incident_event
48,NCT01368081,glm,(Intercept),-11.385,2.954,ae_sae,,incident_event
48,NCT01368081,glm,age10,0.418,0.432,ae_sae,,incident_event
48,NCT01368081,glm,arm_f_2_uaa10734,-0.813,4.252,ae_sae,,incident_event
48,NCT01368081,glm,sex,0.393,0.962,ae_sae,,incident_event
48,NCT01368081,glm,age10:arm_f_2_uaa10734,0.169,0.621,ae_sae,,incident_event
48,NCT01368081,glm,arm_f_2_uaa10734:sex,-0.325,1.319,ae_sae,,incident_event
48,NCT01422876,glm,(Intercept),-13.431,9.146,ae_sae,,incident_event
48,NCT01422876,glm,age10,0.61,1.473,ae_sae,,incident_event
48,NCT01422876,glm,arm_f_2_uaa10768,0.545,11.337,ae_sae,,incident_event
48,NCT01422876,glm,arm_f_2_uaa10769,3.187,11.615,ae_sae,,incident_event
48,NCT01422876,glm,arm_f_2_uaa10770,5.036,10.747,ae_sae,,incident_event
48,NCT01422876,glm,arm_f_2_uaa10771,0.685,11.265,ae_sae,,incident_event
48,NCT01422876,glm,sex,0.431,2.956,ae_sae,,incident_event
48,NCT01422876,glm,age10:arm_f_2_uaa10768,-0.045,1.807,ae_sae,,incident_event
48,NCT01422876,glm,age10:arm_f_2_uaa10769,-0.406,1.899,ae_sae,,incident_event
48,NCT01422876,glm,age10:arm_f_2_uaa10770,-0.753,1.778,ae_sae,,incident_event
48,NCT01422876,glm,age10:arm_f_2_uaa10771,-0.061,1.804,ae_sae,,incident_event
48,NCT01422876,glm,arm_f_2_uaa10768:sex,0.242,3.806,ae_sae,,incident_event
48,NCT01422876,glm,arm_f_2_uaa10769:sex,-0.73,3.736,ae_sae,,incident_event
48,NCT01422876,glm,arm_f_2_uaa10770:sex,-0.181,3.641,ae_sae,,incident_event
48,NCT01422876,glm,arm_f_2_uaa10771:sex,0.359,3.745,ae_sae,,incident_event
48,NCT01064687,glm,(Intercept),-10.363,4.137,ae_sae,,incident_event
48,NCT01064687,glm,age10,0.213,0.687,ae_sae,,incident_event
48,NCT01064687,glm,arm_f_2_uaa10527,-0.908,5.68,ae_sae,,incident_event
48,NCT01064687,glm,arm_f_2_uaa10529,-2.229,6.938,ae_sae,,incident_event
48,NCT01064687,glm,arm_f_2_uaa10530,0.766,5.422,ae_sae,,incident_event
48,NCT01064687,glm,sex,1.355,1.743,ae_sae,,incident_event
48,NCT01064687,glm,age10:arm_f_2_uaa10527,0.196,0.937,ae_sae,,incident_event
48,NCT01064687,glm,age10:arm_f_2_uaa10529,0.442,1.142,ae_sae,,incident_event
48,NCT01064687,glm,age10:arm_f_2_uaa10530,-0.07,0.909,ae_sae,,incident_event
48,NCT01064687,glm,arm_f_2_uaa10527:sex,-1.108,2.135,ae_sae,,incident_event
48,NCT01064687,glm,arm_f_2_uaa10529:sex,-2.453,2.365,ae_sae,,incident_event
48,NCT01064687,glm,arm_f_2_uaa10530:sex,-1.335,2.125,ae_sae,,incident_event
48,NCT01126580,glm,(Intercept),-9.939,6.715,ae_sae,,incident_event
48,NCT01126580,glm,age10,0.177,1.151,ae_sae,,incident_event
48,NCT01126580,glm,arm_f_2_uaa10593,0.77,9.651,ae_sae,,incident_event
48,NCT01126580,glm,arm_f_2_uaa10595,1.047,10.35,ae_sae,,incident_event
48,NCT01126580,glm,sex,-0.002,2.32,ae_sae,,incident_event
48,NCT01126580,glm,age10:arm_f_2_uaa10593,-0.153,1.676,ae_sae,,incident_event
48,NCT01126580,glm,age10:arm_f_2_uaa10595,-0.276,1.837,ae_sae,,incident_event
48,NCT01126580,glm,arm_f_2_uaa10593:sex,-0.414,3.575,ae_sae,,incident_event
48,NCT01126580,glm,arm_f_2_uaa10595:sex,0.019,3.75,ae_sae,,incident_event
48,NCT02681094,glm,(Intercept),-9.63,4.749,ae_sae,,incident_event
48,NCT02681094,glm,age10,0.047,0.776,ae_sae,,incident_event
48,NCT02681094,glm,arm_f_2_uaa11197,-1.975,7.056,ae_sae,,incident_event
48,NCT02681094,glm,arm_f_2_uaa11198,-1.689,7.137,ae_sae,,incident_event
48,NCT02681094,glm,sex,0.96,1.831,ae_sae,,incident_event
48,NCT02681094,glm,age10:arm_f_2_uaa11197,0.524,1.144,ae_sae,,incident_event
48,NCT02681094,glm,age10:arm_f_2_uaa11198,0.158,1.124,ae_sae,,incident_event
48,NCT02681094,glm,arm_f_2_uaa11197:sex,-2.147,2.589,ae_sae,,incident_event
48,NCT02681094,glm,arm_f_2_uaa11198:sex,0.883,3.035,ae_sae,,incident_event
48,NCT02471404,glm,(Intercept),-8.493,3.204,ae_sae,,incident_event
48,NCT02471404,glm,age10,0.105,0.531,ae_sae,,incident_event
48,NCT02471404,glm,arm_f_2_uaa11141,-1.653,4.346,ae_sae,,incident_event
48,NCT02471404,glm,arm_f_2_uaa11142,0.001,5.237,ae_sae,,incident_event
48,NCT02471404,glm,sex,-0.22,0.885,ae_sae,,incident_event
48,NCT02471404,glm,age10:arm_f_2_uaa11141,0.25,0.712,ae_sae,,incident_event
48,NCT02471404,glm,age10:arm_f_2_uaa11142,-0.205,0.869,ae_sae,,incident_event
48,NCT02471404,glm,arm_f_2_uaa11141:sex,0.374,1.258,ae_sae,,incident_event
48,NCT02471404,glm,arm_f_2_uaa11142:sex,0.954,1.569,ae_sae,,incident_event
48,NCT00707993,glm,(Intercept),-13.106,12.974,ae_sae,,incident_event
48,NCT00707993,glm,age10,0.633,1.831,ae_sae,,incident_event
48,NCT00707993,glm,arm_f_2_uaa10320,-2.706,16.888,ae_sae,,incident_event
48,NCT00707993,glm,sex,0.566,1.657,ae_sae,,incident_event
48,NCT00707993,glm,age10:arm_f_2_uaa10320,0.428,2.357,ae_sae,,incident_event
48,NCT00707993,glm,arm_f_2_uaa10320:sex,-0.609,2.261,ae_sae,,incident_event
48,NCT00968708,glm,(Intercept),-7.989,0.709,ae_sae,,incident_event
48,NCT00968708,glm,age10,0.175,0.107,ae_sae,,incident_event
48,NCT00968708,glm,arm_f_2_uaa10453,-0.292,1.019,ae_sae,,incident_event
48,NCT00968708,glm,sex,-0.262,0.214,ae_sae,,incident_event
48,NCT00968708,glm,age10:arm_f_2_uaa10453,0.016,0.153,ae_sae,,incident_event
48,NCT00968708,glm,arm_f_2_uaa10453:sex,0.143,0.308,ae_sae,,incident_event
48,NCT00286429,glm,(Intercept),-11.615,4.937,ae_sae,,incident_event
48,NCT00286429,glm,age10,0.629,0.801,ae_sae,,incident_event
48,NCT00286429,glm,arm_f_2_uaa10053,0.228,6.602,ae_sae,,incident_event
48,NCT00286429,glm,arm_f_2_uaa10054,7.654,5.685,ae_sae,,incident_event
48,NCT00286429,glm,sex,-0.099,1.535,ae_sae,,incident_event
48,NCT00286429,glm,age10:arm_f_2_uaa10053,-0.031,1.081,ae_sae,,incident_event
48,NCT00286429,glm,age10:arm_f_2_uaa10054,-1.409,0.967,ae_sae,,incident_event
48,NCT00286429,glm,arm_f_2_uaa10053:sex,0.21,2.049,ae_sae,,incident_event
48,NCT00286429,glm,arm_f_2_uaa10054:sex,0.537,2.101,ae_sae,,incident_event
48,NCT00306384,glm,(Intercept),-9.73,1.065,ae_sae,,incident_event
48,NCT00306384,glm,age10,0.155,0.183,ae_sae,,incident_event
48,NCT00306384,glm,arm_f_2_uaa10088,-0.66,1.564,ae_sae,,incident_event
48,NCT00306384,glm,sex,0.303,0.365,ae_sae,,incident_event
48,NCT00306384,glm,age10:arm_f_2_uaa10088,0.115,0.264,ae_sae,,incident_event
48,NCT00306384,glm,arm_f_2_uaa10088:sex,0.038,0.514,ae_sae,,incident_event
48,NCT00286468,glm,(Intercept),-12.231,7.575,ae_sae,,incident_event
48,NCT00286468,glm,age10,0.569,1.226,ae_sae,,incident_event
48,NCT00286468,glm,arm_f_2_uaa10065,1.494,8.252,ae_sae,,incident_event
48,NCT00286468,glm,arm_f_2_uaa10066,1.04,8.241,ae_sae,,incident_event
48,NCT00286468,glm,sex,-0.203,2.277,ae_sae,,incident_event
48,NCT00286468,glm,age10:arm_f_2_uaa10065,-0.372,1.316,ae_sae,,incident_event
48,NCT00286468,glm,age10:arm_f_2_uaa10066,-0.018,1.327,ae_sae,,incident_event
48,NCT00286468,glm,arm_f_2_uaa10065:sex,2.191,2.826,ae_sae,,incident_event
48,NCT00286468,glm,arm_f_2_uaa10066:sex,-0.061,2.471,ae_sae,,incident_event
48,NCT01734785,glm,(Intercept),-8.05,3.96,ae_sae,,incident_event
48,NCT01734785,glm,age10,0.097,0.686,ae_sae,,incident_event
48,NCT01734785,glm,arm_f_2_uaa10904,1.314,5.679,ae_sae,,incident_event
48,NCT01734785,glm,arm_f_2_uaa10905,0.807,6.11,ae_sae,,incident_event
48,NCT01734785,glm,sex,-0.6,1.293,ae_sae,,incident_event
48,NCT01734785,glm,age10:arm_f_2_uaa10904,-0.29,1.027,ae_sae,,incident_event
48,NCT01734785,glm,age10:arm_f_2_uaa10905,-0.351,1.087,ae_sae,,incident_event
48,NCT01734785,glm,arm_f_2_uaa10904:sex,-0.351,2.07,ae_sae,,incident_event
48,NCT01734785,glm,arm_f_2_uaa10905:sex,0.962,2.259,ae_sae,,incident_event
48,NCT01719003,glm,(Intercept),-9.305,6.966,ae_sae,,incident_event
48,NCT01719003,glm,age10,0.173,1.257,ae_sae,,incident_event
48,NCT01719003,glm,arm_f_2_uaa10882,-16.382,4813.639,ae_sae,,incident_event
48,NCT01719003,glm,arm_f_2_uaa10883,-24.675,3934.94,ae_sae,,incident_event
48,NCT01719003,glm,arm_f_2_uaa10884,-3.261,11.703,ae_sae,,incident_event
48,NCT01719003,glm,arm_f_2_uaa10885,-0.49,9.129,ae_sae,,incident_event
48,NCT01719003,glm,arm_f_2_uaa10886,-2.715,11.233,ae_sae,,incident_event
48,NCT01719003,glm,arm_f_2_uaa10887,-17.035,4832.315,ae_sae,,incident_event
48,NCT01719003,glm,arm_f_2_uaa10888,-3.067,11.529,ae_sae,,incident_event
48,NCT01719003,glm,sex,-1.21,3.144,ae_sae,,incident_event
48,NCT01719003,glm,age10:arm_f_2_uaa10882,-0.108,2.807,ae_sae,,incident_event
48,NCT01719003,glm,age10:arm_f_2_uaa10883,1.348,2.664,ae_sae,,incident_event
48,NCT01719003,glm,age10:arm_f_2_uaa10884,0.507,2.007,ae_sae,,incident_event
48,NCT01719003,glm,age10:arm_f_2_uaa10885,0.072,1.625,ae_sae,,incident_event
48,NCT01719003,glm,age10:arm_f_2_uaa10886,0.412,1.878,ae_sae,,incident_event
48,NCT01719003,glm,age10:arm_f_2_uaa10887,0.027,2.075,ae_sae,,incident_event
48,NCT01719003,glm,age10:arm_f_2_uaa10888,0.514,2.004,ae_sae,,incident_event
48,NCT01719003,glm,arm_f_2_uaa10882:sex,16.847,4813.617,ae_sae,,incident_event
48,NCT01719003,glm,arm_f_2_uaa10883:sex,17.526,3934.906,ae_sae,,incident_event
48,NCT01719003,glm,arm_f_2_uaa10884:sex,0.203,4.6,ae_sae,,incident_event
48,NCT01719003,glm,arm_f_2_uaa10885:sex,1.386,3.922,ae_sae,,incident_event
48,NCT01719003,glm,arm_f_2_uaa10886:sex,0.311,4.584,ae_sae,,incident_event
48,NCT01719003,glm,arm_f_2_uaa10887:sex,17.457,4832.303,ae_sae,,incident_event
48,NCT01719003,glm,arm_f_2_uaa10888:sex,0.044,4.581,ae_sae,,incident_event
48,NCT01075282,glm,(Intercept),-8.821,4.809,ae_sae,,incident_event
48,NCT01075282,glm,age10,0.039,0.823,ae_sae,,incident_event
48,NCT01075282,glm,arm_f_2_uaa10533,-0.291,7.442,ae_sae,,incident_event
48,NCT01075282,glm,arm_f_2_uaa10535,-1.974,7.047,ae_sae,,incident_event
48,NCT01075282,glm,sex,0.127,1.511,ae_sae,,incident_event
48,NCT01075282,glm,age10:arm_f_2_uaa10533,0.06,1.279,ae_sae,,incident_event
48,NCT01075282,glm,age10:arm_f_2_uaa10535,0.282,1.181,ae_sae,,incident_event
48,NCT01075282,glm,arm_f_2_uaa10533:sex,-0.803,2.35,ae_sae,,incident_event
48,NCT01075282,glm,arm_f_2_uaa10535:sex,0.348,2.259,ae_sae,,incident_event
48,NCT01191268,glm,(Intercept),-7.359,3.388,ae_sae,,incident_event
48,NCT01191268,glm,age10,-0.105,0.558,ae_sae,,incident_event
48,NCT01191268,glm,arm_f_2_uaa10666,-1.992,5.037,ae_sae,,incident_event
48,NCT01191268,glm,arm_f_2_uaa10668,-1.769,6.114,ae_sae,,incident_event
48,NCT01191268,glm,sex,0.28,1.017,ae_sae,,incident_event
48,NCT01191268,glm,age10:arm_f_2_uaa10666,0.379,0.824,ae_sae,,incident_event
48,NCT01191268,glm,age10:arm_f_2_uaa10668,0.183,1.022,ae_sae,,incident_event
48,NCT01191268,glm,arm_f_2_uaa10666:sex,-0.657,1.462,ae_sae,,incident_event
48,NCT01191268,glm,arm_f_2_uaa10668:sex,-0.5,1.901,ae_sae,,incident_event
48,NCT01621178,glm,(Intercept),-6.581,3.897,ae_sae,,incident_event
48,NCT01621178,glm,age10,-0.119,0.612,ae_sae,,incident_event
48,NCT01621178,glm,arm_f_2_uaa10825,-3.58,6.259,ae_sae,,incident_event
48,NCT01621178,glm,arm_f_2_uaa10826,-3.039,6.127,ae_sae,,incident_event
48,NCT01621178,glm,sex,-0.093,1.041,ae_sae,,incident_event
48,NCT01621178,glm,age10:arm_f_2_uaa10825,0.47,0.941,ae_sae,,incident_event
48,NCT01621178,glm,age10:arm_f_2_uaa10826,0.434,0.926,ae_sae,,incident_event
48,NCT01621178,glm,arm_f_2_uaa10825:sex,0.612,1.582,ae_sae,,incident_event
48,NCT01621178,glm,arm_f_2_uaa10826:sex,0.375,1.524,ae_sae,,incident_event
48,NCT00641043,glm,(Intercept),-12.181,5.945,ae_gi,,incident_event
48,NCT00641043,glm,age10,0.563,0.856,ae_gi,,incident_event
48,NCT00641043,glm,arm_f_2_uaa10253,3.886,7.069,ae_gi,,incident_event
48,NCT00641043,glm,sex,1.769,2.872,ae_gi,,incident_event
48,NCT00641043,glm,age10:arm_f_2_uaa10253,-0.432,1.067,ae_gi,,incident_event
48,NCT00641043,glm,arm_f_2_uaa10253:sex,-1.829,3.118,ae_gi,,incident_event
48,NCT00621140,glm,(Intercept),-9.821,5.092,ae_gi,,incident_event
48,NCT00621140,glm,age10,0.331,0.861,ae_gi,,incident_event
48,NCT00621140,glm,arm_f_2_uaa10243,3.305,6.006,ae_gi,,incident_event
48,NCT00621140,glm,sex,-0.061,1.609,ae_gi,,incident_event
48,NCT00621140,glm,age10:arm_f_2_uaa10243,-0.596,1.039,ae_gi,,incident_event
48,NCT00621140,glm,arm_f_2_uaa10243:sex,-0.366,2.031,ae_gi,,incident_event
48,NCT00601250,glm,(Intercept),-10.493,4.179,ae_gi,,incident_event
48,NCT00601250,glm,age10,0.454,0.646,ae_gi,,incident_event
48,NCT00601250,glm,arm_f_2_uaa10222,3.437,4.708,ae_gi,,incident_event
48,NCT00601250,glm,sex,0.879,1.445,ae_gi,,incident_event
48,NCT00601250,glm,age10:arm_f_2_uaa10222,-0.537,0.745,ae_gi,,incident_event
48,NCT00601250,glm,arm_f_2_uaa10222:sex,-0.561,1.638,ae_gi,,incident_event
48,NCT00602472,glm,(Intercept),-5.78,2.121,ae_gi,,incident_event
48,NCT00602472,glm,age10,-0.118,0.367,ae_gi,,incident_event
48,NCT00602472,glm,arm_f_2_uaa10225,-0.255,2.61,ae_gi,,incident_event
48,NCT00602472,glm,sex,-0.658,0.769,ae_gi,,incident_event
48,NCT00602472,glm,age10:arm_f_2_uaa10225,-0.009,0.449,ae_gi,,incident_event
48,NCT00602472,glm,arm_f_2_uaa10225:sex,-0.161,0.942,ae_gi,,incident_event
48,NCT00622284,glm,(Intercept),-7.215,2.32,ae_gi,,incident_event
48,NCT00622284,glm,age10,-0.061,0.385,ae_gi,,incident_event
48,NCT00622284,glm,arm_f_2_uaa10247,-0.397,3.413,ae_gi,,incident_event
48,NCT00622284,glm,sex,-0.324,0.715,ae_gi,,incident_event
48,NCT00622284,glm,age10:arm_f_2_uaa10247,0.016,0.559,ae_gi,,incident_event
