trials,nct_id,models,outcome,row,col,r,nct_id2,outcome_method
48,NCT00954447,glm,ae_sae,sex,arm_f_2_uaa10443:sex,-0.736,,incident_event
48,NCT00954447,glm,ae_sae,age10:arm_f_2_uaa10443,arm_f_2_uaa10443:sex,0.048,,incident_event
48,NCT00798161,glm,ae_sae,(Intercept),age10,-1,,incident_event
48,NCT00798161,glm,ae_sae,(Intercept),arm_f_2_uaa10361,-1,,incident_event
48,NCT00798161,glm,ae_sae,age10,arm_f_2_uaa10361,1,,incident_event
48,NCT00798161,glm,ae_sae,(Intercept),arm_f_2_uaa10362,-1,,incident_event
48,NCT00798161,glm,ae_sae,age10,arm_f_2_uaa10362,1,,incident_event
48,NCT00798161,glm,ae_sae,arm_f_2_uaa10361,arm_f_2_uaa10362,1,,incident_event
48,NCT00798161,glm,ae_sae,(Intercept),arm_f_2_uaa10363,-1,,incident_event
48,NCT00798161,glm,ae_sae,age10,arm_f_2_uaa10363,1,,incident_event
48,NCT00798161,glm,ae_sae,arm_f_2_uaa10361,arm_f_2_uaa10363,1,,incident_event
48,NCT00798161,glm,ae_sae,arm_f_2_uaa10362,arm_f_2_uaa10363,1,,incident_event
48,NCT00798161,glm,ae_sae,(Intercept),arm_f_2_uaa10364,-1,,incident_event
48,NCT00798161,glm,ae_sae,age10,arm_f_2_uaa10364,1,,incident_event
48,NCT00798161,glm,ae_sae,arm_f_2_uaa10361,arm_f_2_uaa10364,1,,incident_event
48,NCT00798161,glm,ae_sae,arm_f_2_uaa10362,arm_f_2_uaa10364,1,,incident_event
48,NCT00798161,glm,ae_sae,arm_f_2_uaa10363,arm_f_2_uaa10364,1,,incident_event
48,NCT00798161,glm,ae_sae,(Intercept),arm_f_2_uaa10365,-1,,incident_event
48,NCT00798161,glm,ae_sae,age10,arm_f_2_uaa10365,1,,incident_event
48,NCT00798161,glm,ae_sae,arm_f_2_uaa10361,arm_f_2_uaa10365,1,,incident_event
48,NCT00798161,glm,ae_sae,arm_f_2_uaa10362,arm_f_2_uaa10365,1,,incident_event
48,NCT00798161,glm,ae_sae,arm_f_2_uaa10363,arm_f_2_uaa10365,1,,incident_event
48,NCT00798161,glm,ae_sae,arm_f_2_uaa10364,arm_f_2_uaa10365,1,,incident_event
48,NCT00798161,glm,ae_sae,(Intercept),sex,-1,,incident_event
48,NCT00798161,glm,ae_sae,age10,sex,1,,incident_event
48,NCT00798161,glm,ae_sae,arm_f_2_uaa10361,sex,1,,incident_event
48,NCT00798161,glm,ae_sae,arm_f_2_uaa10362,sex,1,,incident_event
48,NCT00798161,glm,ae_sae,arm_f_2_uaa10363,sex,1,,incident_event
48,NCT00798161,glm,ae_sae,arm_f_2_uaa10364,sex,1,,incident_event
48,NCT00798161,glm,ae_sae,arm_f_2_uaa10365,sex,1,,incident_event
48,NCT00798161,glm,ae_sae,(Intercept),age10:arm_f_2_uaa10361,1,,incident_event
48,NCT00798161,glm,ae_sae,age10,age10:arm_f_2_uaa10361,-1,,incident_event
48,NCT00798161,glm,ae_sae,arm_f_2_uaa10361,age10:arm_f_2_uaa10361,-1,,incident_event
48,NCT00798161,glm,ae_sae,arm_f_2_uaa10362,age10:arm_f_2_uaa10361,-1,,incident_event
48,NCT00798161,glm,ae_sae,arm_f_2_uaa10363,age10:arm_f_2_uaa10361,-1,,incident_event
48,NCT00798161,glm,ae_sae,arm_f_2_uaa10364,age10:arm_f_2_uaa10361,-1,,incident_event
48,NCT00798161,glm,ae_sae,arm_f_2_uaa10365,age10:arm_f_2_uaa10361,-1,,incident_event
48,NCT00798161,glm,ae_sae,sex,age10:arm_f_2_uaa10361,-1,,incident_event
48,NCT00798161,glm,ae_sae,(Intercept),age10:arm_f_2_uaa10362,1,,incident_event
48,NCT00798161,glm,ae_sae,age10,age10:arm_f_2_uaa10362,-1,,incident_event
48,NCT00798161,glm,ae_sae,arm_f_2_uaa10361,age10:arm_f_2_uaa10362,-1,,incident_event
48,NCT00798161,glm,ae_sae,arm_f_2_uaa10362,age10:arm_f_2_uaa10362,-1,,incident_event
48,NCT00798161,glm,ae_sae,arm_f_2_uaa10363,age10:arm_f_2_uaa10362,-1,,incident_event
48,NCT00798161,glm,ae_sae,arm_f_2_uaa10364,age10:arm_f_2_uaa10362,-1,,incident_event
48,NCT00798161,glm,ae_sae,arm_f_2_uaa10365,age10:arm_f_2_uaa10362,-1,,incident_event
48,NCT00798161,glm,ae_sae,sex,age10:arm_f_2_uaa10362,-1,,incident_event
48,NCT00798161,glm,ae_sae,age10:arm_f_2_uaa10361,age10:arm_f_2_uaa10362,1,,incident_event
48,NCT00798161,glm,ae_sae,(Intercept),age10:arm_f_2_uaa10363,1,,incident_event
48,NCT00798161,glm,ae_sae,age10,age10:arm_f_2_uaa10363,-1,,incident_event
48,NCT00798161,glm,ae_sae,arm_f_2_uaa10361,age10:arm_f_2_uaa10363,-1,,incident_event
48,NCT00798161,glm,ae_sae,arm_f_2_uaa10362,age10:arm_f_2_uaa10363,-1,,incident_event
48,NCT00798161,glm,ae_sae,arm_f_2_uaa10363,age10:arm_f_2_uaa10363,-1,,incident_event
48,NCT00798161,glm,ae_sae,arm_f_2_uaa10364,age10:arm_f_2_uaa10363,-1,,incident_event
48,NCT00798161,glm,ae_sae,arm_f_2_uaa10365,age10:arm_f_2_uaa10363,-1,,incident_event
48,NCT00798161,glm,ae_sae,sex,age10:arm_f_2_uaa10363,-1,,incident_event
48,NCT00798161,glm,ae_sae,age10:arm_f_2_uaa10361,age10:arm_f_2_uaa10363,1,,incident_event
48,NCT00798161,glm,ae_sae,age10:arm_f_2_uaa10362,age10:arm_f_2_uaa10363,1,,incident_event
48,NCT00798161,glm,ae_sae,(Intercept),age10:arm_f_2_uaa10364,1,,incident_event
48,NCT00798161,glm,ae_sae,age10,age10:arm_f_2_uaa10364,-1,,incident_event
48,NCT00798161,glm,ae_sae,arm_f_2_uaa10361,age10:arm_f_2_uaa10364,-1,,incident_event
48,NCT00798161,glm,ae_sae,arm_f_2_uaa10362,age10:arm_f_2_uaa10364,-1,,incident_event
48,NCT00798161,glm,ae_sae,arm_f_2_uaa10363,age10:arm_f_2_uaa10364,-1,,incident_event
48,NCT00798161,glm,ae_sae,arm_f_2_uaa10364,age10:arm_f_2_uaa10364,-1,,incident_event
48,NCT00798161,glm,ae_sae,arm_f_2_uaa10365,age10:arm_f_2_uaa10364,-1,,incident_event
48,NCT00798161,glm,ae_sae,sex,age10:arm_f_2_uaa10364,-1,,incident_event
48,NCT00798161,glm,ae_sae,age10:arm_f_2_uaa10361,age10:arm_f_2_uaa10364,1,,incident_event
48,NCT00798161,glm,ae_sae,age10:arm_f_2_uaa10362,age10:arm_f_2_uaa10364,1,,incident_event
48,NCT00798161,glm,ae_sae,age10:arm_f_2_uaa10363,age10:arm_f_2_uaa10364,1,,incident_event
48,NCT00798161,glm,ae_sae,(Intercept),age10:arm_f_2_uaa10365,1,,incident_event
48,NCT00798161,glm,ae_sae,age10,age10:arm_f_2_uaa10365,-1,,incident_event
48,NCT00798161,glm,ae_sae,arm_f_2_uaa10361,age10:arm_f_2_uaa10365,-1,,incident_event
48,NCT00798161,glm,ae_sae,arm_f_2_uaa10362,age10:arm_f_2_uaa10365,-1,,incident_event
48,NCT00798161,glm,ae_sae,arm_f_2_uaa10363,age10:arm_f_2_uaa10365,-1,,incident_event
48,NCT00798161,glm,ae_sae,arm_f_2_uaa10364,age10:arm_f_2_uaa10365,-1,,incident_event
48,NCT00798161,glm,ae_sae,arm_f_2_uaa10365,age10:arm_f_2_uaa10365,-1,,incident_event
48,NCT00798161,glm,ae_sae,sex,age10:arm_f_2_uaa10365,-1,,incident_event
48,NCT00798161,glm,ae_sae,age10:arm_f_2_uaa10361,age10:arm_f_2_uaa10365,1,,incident_event
48,NCT00798161,glm,ae_sae,age10:arm_f_2_uaa10362,age10:arm_f_2_uaa10365,1,,incident_event
48,NCT00798161,glm,ae_sae,age10:arm_f_2_uaa10363,age10:arm_f_2_uaa10365,1,,incident_event
48,NCT00798161,glm,ae_sae,age10:arm_f_2_uaa10364,age10:arm_f_2_uaa10365,1,,incident_event
48,NCT00798161,glm,ae_sae,(Intercept),arm_f_2_uaa10361:sex,1,,incident_event
48,NCT00798161,glm,ae_sae,age10,arm_f_2_uaa10361:sex,-1,,incident_event
48,NCT00798161,glm,ae_sae,arm_f_2_uaa10361,arm_f_2_uaa10361:sex,-1,,incident_event
48,NCT00798161,glm,ae_sae,arm_f_2_uaa10362,arm_f_2_uaa10361:sex,-1,,incident_event
48,NCT00798161,glm,ae_sae,arm_f_2_uaa10363,arm_f_2_uaa10361:sex,-1,,incident_event
48,NCT00798161,glm,ae_sae,arm_f_2_uaa10364,arm_f_2_uaa10361:sex,-1,,incident_event
48,NCT00798161,glm,ae_sae,arm_f_2_uaa10365,arm_f_2_uaa10361:sex,-1,,incident_event
48,NCT00798161,glm,ae_sae,sex,arm_f_2_uaa10361:sex,-1,,incident_event
48,NCT00798161,glm,ae_sae,age10:arm_f_2_uaa10361,arm_f_2_uaa10361:sex,1,,incident_event
48,NCT00798161,glm,ae_sae,age10:arm_f_2_uaa10362,arm_f_2_uaa10361:sex,1,,incident_event
48,NCT00798161,glm,ae_sae,age10:arm_f_2_uaa10363,arm_f_2_uaa10361:sex,1,,incident_event
48,NCT00798161,glm,ae_sae,age10:arm_f_2_uaa10364,arm_f_2_uaa10361:sex,1,,incident_event
48,NCT00798161,glm,ae_sae,age10:arm_f_2_uaa10365,arm_f_2_uaa10361:sex,1,,incident_event
48,NCT00798161,glm,ae_sae,(Intercept),arm_f_2_uaa10362:sex,1,,incident_event
48,NCT00798161,glm,ae_sae,age10,arm_f_2_uaa10362:sex,-1,,incident_event
48,NCT00798161,glm,ae_sae,arm_f_2_uaa10361,arm_f_2_uaa10362:sex,-1,,incident_event
48,NCT00798161,glm,ae_sae,arm_f_2_uaa10362,arm_f_2_uaa10362:sex,-1,,incident_event
48,NCT00798161,glm,ae_sae,arm_f_2_uaa10363,arm_f_2_uaa10362:sex,-1,,incident_event
48,NCT00798161,glm,ae_sae,arm_f_2_uaa10364,arm_f_2_uaa10362:sex,-1,,incident_event
48,NCT00798161,glm,ae_sae,arm_f_2_uaa10365,arm_f_2_uaa10362:sex,-1,,incident_event
48,NCT00798161,glm,ae_sae,sex,arm_f_2_uaa10362:sex,-1,,incident_event
48,NCT00798161,glm,ae_sae,age10:arm_f_2_uaa10361,arm_f_2_uaa10362:sex,1,,incident_event
48,NCT00798161,glm,ae_sae,age10:arm_f_2_uaa10362,arm_f_2_uaa10362:sex,1,,incident_event
48,NCT00798161,glm,ae_sae,age10:arm_f_2_uaa10363,arm_f_2_uaa10362:sex,1,,incident_event
48,NCT00798161,glm,ae_sae,age10:arm_f_2_uaa10364,arm_f_2_uaa10362:sex,1,,incident_event
48,NCT00798161,glm,ae_sae,age10:arm_f_2_uaa10365,arm_f_2_uaa10362:sex,1,,incident_event
48,NCT00798161,glm,ae_sae,arm_f_2_uaa10361:sex,arm_f_2_uaa10362:sex,1,,incident_event
48,NCT00798161,glm,ae_sae,(Intercept),arm_f_2_uaa10363:sex,1,,incident_event
48,NCT00798161,glm,ae_sae,age10,arm_f_2_uaa10363:sex,-1,,incident_event
48,NCT00798161,glm,ae_sae,arm_f_2_uaa10361,arm_f_2_uaa10363:sex,-1,,incident_event
48,NCT00798161,glm,ae_sae,arm_f_2_uaa10362,arm_f_2_uaa10363:sex,-1,,incident_event
48,NCT00798161,glm,ae_sae,arm_f_2_uaa10363,arm_f_2_uaa10363:sex,-1,,incident_event
48,NCT00798161,glm,ae_sae,arm_f_2_uaa10364,arm_f_2_uaa10363:sex,-1,,incident_event
48,NCT00798161,glm,ae_sae,arm_f_2_uaa10365,arm_f_2_uaa10363:sex,-1,,incident_event
48,NCT00798161,glm,ae_sae,sex,arm_f_2_uaa10363:sex,-1,,incident_event
48,NCT00798161,glm,ae_sae,age10:arm_f_2_uaa10361,arm_f_2_uaa10363:sex,1,,incident_event
48,NCT00798161,glm,ae_sae,age10:arm_f_2_uaa10362,arm_f_2_uaa10363:sex,1,,incident_event
48,NCT00798161,glm,ae_sae,age10:arm_f_2_uaa10363,arm_f_2_uaa10363:sex,1,,incident_event
48,NCT00798161,glm,ae_sae,age10:arm_f_2_uaa10364,arm_f_2_uaa10363:sex,1,,incident_event
48,NCT00798161,glm,ae_sae,age10:arm_f_2_uaa10365,arm_f_2_uaa10363:sex,1,,incident_event
48,NCT00798161,glm,ae_sae,arm_f_2_uaa10361:sex,arm_f_2_uaa10363:sex,1,,incident_event
48,NCT00798161,glm,ae_sae,arm_f_2_uaa10362:sex,arm_f_2_uaa10363:sex,1,,incident_event
48,NCT00798161,glm,ae_sae,(Intercept),arm_f_2_uaa10364:sex,1,,incident_event
48,NCT00798161,glm,ae_sae,age10,arm_f_2_uaa10364:sex,-1,,incident_event
48,NCT00798161,glm,ae_sae,arm_f_2_uaa10361,arm_f_2_uaa10364:sex,-1,,incident_event
48,NCT00798161,glm,ae_sae,arm_f_2_uaa10362,arm_f_2_uaa10364:sex,-1,,incident_event
48,NCT00798161,glm,ae_sae,arm_f_2_uaa10363,arm_f_2_uaa10364:sex,-1,,incident_event
48,NCT00798161,glm,ae_sae,arm_f_2_uaa10364,arm_f_2_uaa10364:sex,-1,,incident_event
48,NCT00798161,glm,ae_sae,arm_f_2_uaa10365,arm_f_2_uaa10364:sex,-1,,incident_event
48,NCT00798161,glm,ae_sae,sex,arm_f_2_uaa10364:sex,-1,,incident_event
48,NCT00798161,glm,ae_sae,age10:arm_f_2_uaa10361,arm_f_2_uaa10364:sex,1,,incident_event
48,NCT00798161,glm,ae_sae,age10:arm_f_2_uaa10362,arm_f_2_uaa10364:sex,1,,incident_event
48,NCT00798161,glm,ae_sae,age10:arm_f_2_uaa10363,arm_f_2_uaa10364:sex,1,,incident_event
48,NCT00798161,glm,ae_sae,age10:arm_f_2_uaa10364,arm_f_2_uaa10364:sex,1,,incident_event
