trials,nct_id,models,outcome,row,col,r,nct_id2,outcome_method
48,NCT00798161,glm,ae_sae,age10:arm_f_2_uaa10365,arm_f_2_uaa10364:sex,1,,incident_event
48,NCT00798161,glm,ae_sae,arm_f_2_uaa10361:sex,arm_f_2_uaa10364:sex,1,,incident_event
48,NCT00798161,glm,ae_sae,arm_f_2_uaa10362:sex,arm_f_2_uaa10364:sex,1,,incident_event
48,NCT00798161,glm,ae_sae,arm_f_2_uaa10363:sex,arm_f_2_uaa10364:sex,1,,incident_event
48,NCT00798161,glm,ae_sae,(Intercept),arm_f_2_uaa10365:sex,1,,incident_event
48,NCT00798161,glm,ae_sae,age10,arm_f_2_uaa10365:sex,-1,,incident_event
48,NCT00798161,glm,ae_sae,arm_f_2_uaa10361,arm_f_2_uaa10365:sex,-1,,incident_event
48,NCT00798161,glm,ae_sae,arm_f_2_uaa10362,arm_f_2_uaa10365:sex,-1,,incident_event
48,NCT00798161,glm,ae_sae,arm_f_2_uaa10363,arm_f_2_uaa10365:sex,-1,,incident_event
48,NCT00798161,glm,ae_sae,arm_f_2_uaa10364,arm_f_2_uaa10365:sex,-1,,incident_event
48,NCT00798161,glm,ae_sae,arm_f_2_uaa10365,arm_f_2_uaa10365:sex,-1,,incident_event
48,NCT00798161,glm,ae_sae,sex,arm_f_2_uaa10365:sex,-1,,incident_event
48,NCT00798161,glm,ae_sae,age10:arm_f_2_uaa10361,arm_f_2_uaa10365:sex,1,,incident_event
48,NCT00798161,glm,ae_sae,age10:arm_f_2_uaa10362,arm_f_2_uaa10365:sex,1,,incident_event
48,NCT00798161,glm,ae_sae,age10:arm_f_2_uaa10363,arm_f_2_uaa10365:sex,1,,incident_event
48,NCT00798161,glm,ae_sae,age10:arm_f_2_uaa10364,arm_f_2_uaa10365:sex,1,,incident_event
48,NCT00798161,glm,ae_sae,age10:arm_f_2_uaa10365,arm_f_2_uaa10365:sex,1,,incident_event
48,NCT00798161,glm,ae_sae,arm_f_2_uaa10361:sex,arm_f_2_uaa10365:sex,1,,incident_event
48,NCT00798161,glm,ae_sae,arm_f_2_uaa10362:sex,arm_f_2_uaa10365:sex,1,,incident_event
48,NCT00798161,glm,ae_sae,arm_f_2_uaa10363:sex,arm_f_2_uaa10365:sex,1,,incident_event
48,NCT00798161,glm,ae_sae,arm_f_2_uaa10364:sex,arm_f_2_uaa10365:sex,1,,incident_event
48,NCT00915772,glm,ae_sae,(Intercept),age10,-0.981,,incident_event
48,NCT00915772,glm,ae_sae,(Intercept),arm_f_2_uaa10431,-0.791,,incident_event
48,NCT00915772,glm,ae_sae,age10,arm_f_2_uaa10431,0.777,,incident_event
