trials,nct_id,models,null.deviance,df.null,logLik,AIC,BIC,deviance,df.residual,nobs,outcome,outcome_method
48,NCT01177813,glmnb,549,897,-361.9,749.8,812.2,539.9,886,898,ae_gi,incident_event
48,NCT01159600,glmnb,634.9,1321,-594.3,1209,1261,626.2,1313,1322,ae_gi,incident_event
48,NCT01167881,glmnb,1003,1548,-1589,3193,3230,999.6,1543,1549,ae_gi,incident_event
48,NCT01164501,glmnb,265.1,740,-428.1,876.3,922.3,257.6,732,741,ae_gi,incident_event
48,NCT01370005,glmnb,227.7,824,-306.3,632.5,679.7,216.1,816,825,ae_gi,incident_event
48,NCT01306214,glmnb,185.2,565,-307.4,634.8,678.2,182,557,566,ae_gi,incident_event
48,NCT01368081,glmnb,940,1098,-914,1842,1877,926.9,1093,1099,ae_gi,incident_event
48,NCT01708902,glmnb,351.7,732,-492.5,1017,1090,310.4,718,733,ae_gi,incident_event
48,NCT01064687,glmnb,785.8,977,-1284,2594,2658,729.4,966,978,ae_gi,incident_event
48,NCT01126580,glmnb,501.9,806,-887.6,1795,1842,488.3,798,807,ae_gi,incident_event
48,NCT01624259,glmnb,416.2,598,-728.4,1471,1502,406.8,593,599,ae_gi,incident_event
48,NCT01769378,glmnb,141,299,-240.2,494.4,520.3,129.6,294,300,ae_gi,incident_event
48,NCT02152371,glmnb,191,299,-257.6,529.3,555.2,163.1,294,300,ae_gi,incident_event
48,NCT02597049,glmnb,290.1,423,-396.2,812.4,852.9,252.4,415,424,ae_gi,incident_event
48,NCT01606007,glmnb,214.1,524,-228.5,477.1,519.7,203.1,516,525,ae_gi,incident_event
48,NCT02284893,glmnb,137.7,422,-207.6,429.3,457.6,134.9,417,423,ae_gi,incident_event
48,NCT02681094,glmnb,254.7,889,-323.2,666.3,714.2,246.3,881,890,ae_gi,incident_event
48,NCT02471404,glmnb,489.5,905,-656.2,1332,1380,480.4,897,906,ae_gi,incident_event
48,NCT00707993,glmnb,229.1,440,-314.8,643.6,672.3,223.8,435,441,ae_gi,incident_event
48,NCT00968708,glmnb,3073,5380,-3848,7709,7755,3060,5375,5381,ae_gi,incident_event
48,NCT00286429,glmnb,227.8,389,-248.7,517.3,557,198.2,381,390,ae_gi,incident_event
48,NCT01023581,glmnb,332,783,-449.1,942.3,1045,294.5,763,784,ae_gi,incident_event
48,NCT01890122,glmnb,198.9,644,-238.8,503.6,561.7,185.4,633,645,ae_gi,incident_event
48,NCT00286442,glmnb,217.4,525,-262.3,544.6,587.3,209,517,526,ae_gi,incident_event
48,NCT00306384,glmnb,2393,2792,-2806,5626,5668,2374,2787,2793,ae_gi,incident_event
48,NCT00286455,glmnb,139.3,328,-173.4,366.8,404.8,128,320,329,ae_gi,incident_event
48,NCT00286468,glmnb,248.8,499,-288.2,596.4,638.5,235.9,491,500,ae_gi,incident_event
48,NCT01778049,glmnb,74.5,225,-114.7,243.4,267.4,71,220,226,ae_gi,incident_event
48,NCT02489968,glmnb,204.5,446,-305.4,636.7,690,194.8,435,447,ae_gi,incident_event
48,NCT01734785,glmnb,217.3,332,-273.2,566.5,604.6,201,324,333,ae_gi,incident_event
48,NCT01719003,glmnb,670.1,1364,-801.7,1653,1784,621.1,1341,1365,ae_gi,incident_event
48,NCT01191268,glmnb,650.3,883,-961,1942,1990,553.9,875,884,ae_gi,incident_event
48,NCT01621178,glmnb,421.9,576,-606.7,1233,1277,364.2,568,577,ae_gi,incident_event
48,NCT00602472,glmnb,568.7,1057,-873.6,1761,1796,550.9,1052,1058,ae_hypog,incident_event
48,NCT00622284,glmnb,926.8,1551,-1115,2244,2281,726,1546,1552,ae_hypog,incident_event
48,NCT00954447,glmnb,670.8,1255,-1156,2327,2363,668.2,1250,1256,ae_hypog,incident_event
48,NCT01204294,glmnb,172.4,573,-155.3,354.6,450.4,109.4,553,574,ae_hypog,incident_event
48,NCT01792518,glmnb,1.2,359,-283.7,581.4,608.6,109.3,354,360,ae_hypog,incident_event
48,NCT01159600,glmnb,545.7,1321,-455,930.1,981.9,527.5,1313,1322,ae_hypog,incident_event
48,NCT01164501,glmnb,418.4,740,-660.6,1341,1387,408.6,732,741,ae_hypog,incident_event
48,NCT01370005,glmnb,186.1,824,-267.7,555.3,602.5,180.8,816,825,ae_hypog,incident_event
48,NCT01306214,glmnb,477,565,-767.5,1555,1598,465.4,557,566,ae_hypog,incident_event
48,NCT01422876,glmnb,78,1404,-124.7,281.5,365.4,62.7,1390,1405,ae_hypog,incident_event
48,NCT00968708,glmnb,1069,5380,-1731,3477,3523,1061,5375,5381,ae_hypog,incident_event
48,NCT01191268,glmnb,100.8,883,-140.3,300.5,348.4,81.8,875,884,ae_hypog,incident_event
48,NCT01167881,glmnb,225.9,1548,-322.8,659.5,697,174.9,1543,1549,ae_uti,incident_event
48,NCT01368081,glmnb,220.9,1098,-190.1,394.2,429.2,161.9,1093,1099,ae_uti,incident_event
48,NCT01422876,glmnb,166.8,1404,-191.3,414.6,498.6,120.5,1390,1405,ae_uti,incident_event
48,NCT02471404,glmnb,127.7,905,-150.5,321,369.1,103.1,897,906,ae_uti,incident_event
48,NCT01719003,glmnb,94.8,1364,-122.6,295.2,425.7,75.1,1341,1365,ae_uti,incident_event
