nct_id,nct_id2,models,term,estimate,std.error,statistic,p.value
NCT01081834,NCT01081834,f4,arm_f_2_uaa10549:sex,0.01,0.169,0.056,9.550e-01
NCT01106651,NCT01106651,f4,(Intercept),4.62,0.571,8.093,2.664e-15
NCT01106651,NCT01106651,f4,value_1,0.552,0.035,15.628,2.591e-47
NCT01106651,NCT01106651,f4,age10,-0.195,0.076,-2.573,1.028e-02
NCT01106651,NCT01106651,f4,arm_f_2_uaa10573,-1.602,0.665,-2.408,1.628e-02
NCT01106651,NCT01106651,f4,arm_f_2_uaa10574,-2.349,0.696,-3.375,7.804e-04
NCT01106651,NCT01106651,f4,sex,-0.075,0.098,-0.769,4.419e-01
NCT01106651,NCT01106651,f4,age10:arm_f_2_uaa10573,0.171,0.104,1.633,1.029e-01
NCT01106651,NCT01106651,f4,age10:arm_f_2_uaa10574,0.262,0.109,2.395,1.689e-02
NCT01106651,NCT01106651,f4,arm_f_2_uaa10573:sex,0.023,0.135,0.169,8.656e-01
NCT01106651,NCT01106651,f4,arm_f_2_uaa10574:sex,0.037,0.137,0.27,7.870e-01
NCT01106677,NCT01106677,f4,(Intercept),3.804,0.373,10.209,1.500e-23
NCT01106677,NCT01106677,f4,value_1,0.523,0.023,22.415,1.123e-93
NCT01106677,NCT01106677,f4,age10,-0.09,0.056,-1.607,1.084e-01
NCT01106677,NCT01106677,f4,arm_f_2_uaa10577,-1.045,0.388,-2.695,7.133e-03
NCT01106677,NCT01106677,f4,arm_f_2_uaa10578,-1.34,0.389,-3.442,5.969e-04
NCT01106677,NCT01106677,f4,arm_f_2_uaa10580,-0.395,0.383,-1.029,3.035e-01
NCT01106677,NCT01106677,f4,sex,0.135,0.109,1.239,2.158e-01
NCT01106677,NCT01106677,f4,age10:arm_f_2_uaa10577,0.123,0.069,1.784,7.472e-02
NCT01106677,NCT01106677,f4,age10:arm_f_2_uaa10578,0.159,0.07,2.269,2.344e-02
NCT01106677,NCT01106677,f4,age10:arm_f_2_uaa10580,-0.012,0.069,-0.18,8.571e-01
NCT01106677,NCT01106677,f4,arm_f_2_uaa10577:sex,-0.116,0.133,-0.873,3.826e-01
NCT01106677,NCT01106677,f4,arm_f_2_uaa10578:sex,-0.159,0.134,-1.187,2.353e-01
NCT01106677,NCT01106677,f4,arm_f_2_uaa10580:sex,-0.075,0.134,-0.565,5.724e-01
NCT01106690,NCT01106690,f4,(Intercept),4.272,0.551,7.752,1.156e-13
NCT01106690,NCT01106690,f4,value_1,0.481,0.04,11.879,2.675e-27
NCT01106690,NCT01106690,f4,age10,-0.114,0.068,-1.684,9.309e-02
NCT01106690,NCT01106690,f4,arm_f_2_uaa10582,-1.619,0.55,-2.943,3.486e-03
NCT01106690,NCT01106690,f4,arm_f_2_uaa10583,-1.796,0.544,-3.301,1.071e-03
NCT01106690,NCT01106690,f4,sex,0.129,0.137,0.942,3.470e-01
NCT01106690,NCT01106690,f4,age10:arm_f_2_uaa10582,0.174,0.095,1.834,6.752e-02
NCT01106690,NCT01106690,f4,age10:arm_f_2_uaa10583,0.232,0.093,2.488,1.335e-02
NCT01106690,NCT01106690,f4,arm_f_2_uaa10582:sex,-0.001,0.193,-0.004,9.970e-01
NCT01106690,NCT01106690,f4,arm_f_2_uaa10583:sex,-0.032,0.199,-0.163,8.703e-01
NCT01137812,NCT01137812,f4,(Intercept),4.47,0.435,10.268,3.439e-23
NCT01137812,NCT01137812,f4,value_1,0.493,0.036,13.766,1.747e-38
NCT01137812,NCT01137812,f4,age10,-0.162,0.051,-3.194,1.465e-03
NCT01137812,NCT01137812,f4,arm_f_2_uaa10614,-1.366,0.402,-3.394,7.259e-04
NCT01137812,NCT01137812,f4,sex,-0.126,0.093,-1.363,1.733e-01
NCT01137812,NCT01137812,f4,age10:arm_f_2_uaa10614,0.165,0.069,2.406,1.639e-02
NCT01137812,NCT01137812,f4,arm_f_2_uaa10614:sex,0.099,0.13,0.764,4.452e-01
NCT01381900,NCT01381900,f4,(Intercept),2.538,0.364,6.967,7.958e-12
NCT01381900,NCT01381900,f4,value_1,0.599,0.033,17.911,1.247e-58
NCT01381900,NCT01381900,f4,age10,0.059,0.048,1.251,2.114e-01
NCT01381900,NCT01381900,f4,arm_f_2_uaa10741,-0.214,0.374,-0.572,5.677e-01
NCT01381900,NCT01381900,f4,arm_f_2_uaa10742,-0.326,0.359,-0.908,3.644e-01
NCT01381900,NCT01381900,f4,sex,-0.055,0.101,-0.539,5.900e-01
NCT01381900,NCT01381900,f4,age10:arm_f_2_uaa10741,-0.048,0.072,-0.669,5.036e-01
NCT01381900,NCT01381900,f4,age10:arm_f_2_uaa10742,-0.041,0.069,-0.594,5.527e-01
NCT01381900,NCT01381900,f4,arm_f_2_uaa10741:sex,-0.058,0.144,-0.402,6.879e-01
NCT01381900,NCT01381900,f4,arm_f_2_uaa10742:sex,-0.121,0.144,-0.841,4.007e-01
NCT01809327,NCT01809327,f4,(Intercept),3.919,0.453,8.658,1.618e-17
NCT01809327,NCT01809327,f4,value_1,0.419,0.026,15.807,5.074e-51
NCT01809327,NCT01809327,f4,age10,0.01,0.069,0.146,8.838e-01
NCT01809327,NCT01809327,f4,arm_f_2_uaa10933,-0.465,0.514,-0.906,3.652e-01
NCT01809327,NCT01809327,f4,arm_f_2_uaa10934,-0.895,0.561,-1.596,1.108e-01
NCT01809327,NCT01809327,f4,arm_f_2_uaa10935,-1.028,0.548,-1.875,6.108e-02
NCT01809327,NCT01809327,f4,arm_f_2_uaa10936,-0.958,0.542,-1.766,7.763e-02
NCT01809327,NCT01809327,f4,sex,-0.153,0.14,-1.087,2.771e-01
NCT01809327,NCT01809327,f4,age10:arm_f_2_uaa10933,0.077,0.095,0.809,4.187e-01
NCT01809327,NCT01809327,f4,age10:arm_f_2_uaa10934,0.138,0.101,1.374,1.697e-01
