nct_id,nct_id2,models,r.squared,adj.r.squared,sigma,statistic,p.value,df,logLik,AIC,BIC,deviance,df.residual,nobs
NCT01128894,NCT01128894,f3,2.035e-01,1.996e-01,9.241e-01,5.174e+01,7.970e-39,4,-1.090e+03,2.191e+03,2.219e+03,6.917e+02,810,815
NCT01733758,NCT01733758,f3,5.762e-01,5.692e-01,5.721e-01,8.176e+01,9.690e-85,8,-4.171e+02,8.543e+02,8.962e+02,1.575e+02,481,490
NCT02229227,NCT02229227,f3,1.075e-01,1.031e-01,7.804e-01,2.429e+01,5.272e-19,4,-9.483e+02,1.909e+03,1.937e+03,4.914e+02,807,812
NCT02465515,NCT02465515,f3,3.209e-01,3.206e-01,1.280e+00,1.044e+03,0.000e+00,4,-1.473e+04,2.947e+04,2.951e+04,1.448e+04,8840,8845
NCT00838903,NCT00838903,f4,1.778e-01,1.679e-01,1.162e+00,1.791e+01,2.712e-35,12,-1.573e+03,3.174e+03,3.243e+03,1.341e+03,994,1007
NCT00838916,NCT00838916,f4,1.479e-01,1.410e-01,1.001e+00,2.135e+01,3.437e-23,6,-1.054e+03,2.125e+03,2.162e+03,7.396e+02,738,745
NCT00839527,NCT00839527,f4,2.721e-01,2.620e-01,9.720e-01,2.704e+01,7.521e-40,9,-9.141e+02,1.850e+03,1.900e+03,6.151e+02,651,661
NCT00849017,NCT00849017,f4,1.834e-01,1.577e-01,9.838e-01,7.160e+00,2.254e-09,9,-4.115e+02,8.450e+02,8.856e+02,2.778e+02,287,297
NCT00849056,NCT00849056,f4,2.355e-01,2.198e-01,8.746e-01,1.509e+01,4.633e-15,6,-3.832e+02,7.824e+02,8.121e+02,2.249e+02,294,301
NCT00976391,NCT00976391,f4,2.209e-01,2.126e-01,9.391e-01,2.638e+01,1.100e-27,6,-7.627e+02,1.541e+03,1.576e+03,4.921e+02,558,565
NCT01098539,NCT01098539,f4,2.489e-01,2.395e-01,9.849e-01,2.667e+01,1.806e-27,6,-6.843e+02,1.385e+03,1.418e+03,4.685e+02,483,490
NCT01128894,NCT01128894,f4,2.135e-01,2.077e-01,9.177e-01,3.638e+01,4.358e-39,6,-1.078e+03,2.171e+03,2.209e+03,6.770e+02,804,811
NCT01733758,NCT01733758,f4,5.889e-01,5.786e-01,5.659e-01,5.695e+01,4.110e-84,12,-4.097e+02,8.474e+02,9.061e+02,1.527e+02,477,490
NCT02229227,NCT02229227,f4,1.141e-01,1.075e-01,7.784e-01,1.728e+01,7.369e-19,6,-9.453e+02,1.907e+03,1.944e+03,4.878e+02,805,812
NCT02465515,NCT02465515,f4,3.330e-01,3.326e-01,1.268e+00,7.353e+02,0.000e+00,6,-1.465e+04,2.931e+04,2.937e+04,1.421e+04,8836,8843
NCT00838903,NCT00838903,f5,1.427e-01,1.367e-01,1.180e+00,2.406e+01,2.079e-30,7,-1.612e+03,3.243e+03,3.287e+03,1.410e+03,1012,1020
NCT00838916,NCT00838916,f5,1.324e-01,1.289e-01,1.006e+00,3.801e+01,7.244e-23,3,-1.068e+03,2.146e+03,2.169e+03,7.558e+02,747,751
NCT00839527,NCT00839527,f5,2.474e-01,2.417e-01,9.845e-01,4.325e+01,1.397e-38,5,-9.288e+02,1.872e+03,1.903e+03,6.377e+02,658,664
NCT00849017,NCT00849017,f5,1.658e-01,1.517e-01,9.952e-01,1.173e+01,2.345e-10,5,-4.226e+02,8.592e+02,8.852e+02,2.922e+02,295,301
NCT00849056,NCT00849056,f5,2.212e-01,2.134e-01,8.767e-01,2.821e+01,4.363e-16,3,-3.868e+02,7.836e+02,8.021e+02,2.291e+02,298,302
NCT00976391,NCT00976391,f5,2.160e-01,2.119e-01,9.462e-01,5.253e+01,5.307e-30,3,-7.835e+02,1.577e+03,1.599e+03,5.121e+02,572,576
NCT01098539,NCT01098539,f5,2.005e-01,1.956e-01,1.037e+00,4.087e+01,1.397e-23,3,-7.153e+02,1.441e+03,1.462e+03,5.255e+02,489,493
NCT01128894,NCT01128894,f5,1.884e-01,1.854e-01,9.322e-01,6.274e+01,1.737e-36,3,-1.097e+03,2.204e+03,2.228e+03,7.048e+02,811,815
NCT01733758,NCT01733758,f5,5.792e-01,5.731e-01,5.695e-01,9.478e+01,1.781e-86,7,-4.154e+02,8.488e+02,8.866e+02,1.563e+02,482,490
NCT02229227,NCT02229227,f5,1.141e-01,1.109e-01,7.770e-01,3.470e+01,4.201e-21,3,-9.452e+02,1.900e+03,1.924e+03,4.878e+02,808,812
NCT02465515,NCT02465515,f5,3.207e-01,3.204e-01,1.280e+00,1.391e+03,0.000e+00,3,-1.473e+04,2.947e+04,2.951e+04,1.448e+04,8841,8845
NCT00838903,NCT00838903,f6,1.811e-01,1.721e-01,1.159e+00,2.000e+01,8.643e-37,11,-1.571e+03,3.168e+03,3.232e+03,1.336e+03,995,1007
NCT00838916,NCT00838916,f6,1.477e-01,1.420e-01,1.001e+00,2.562e+01,6.944e-24,5,-1.055e+03,2.123e+03,2.155e+03,7.398e+02,739,745
NCT00839527,NCT00839527,f6,2.747e-01,2.658e-01,9.695e-01,3.087e+01,4.192e-41,8,-9.129e+02,1.846e+03,1.891e+03,6.129e+02,652,661
NCT00849017,NCT00849017,f6,1.673e-01,1.441e-01,9.917e-01,7.232e+00,9.614e-09,8,-4.144e+02,8.488e+02,8.857e+02,2.833e+02,288,297
NCT00849056,NCT00849056,f6,2.318e-01,2.188e-01,8.751e-01,1.781e+01,1.999e-15,5,-3.839e+02,7.819e+02,8.078e+02,2.259e+02,295,301
NCT00976391,NCT00976391,f6,2.151e-01,2.080e-01,9.418e-01,3.063e+01,1.450e-27,5,-7.648e+02,1.544e+03,1.574e+03,4.958e+02,559,565
NCT01098539,NCT01098539,f6,2.293e-01,2.214e-01,9.966e-01,2.880e+01,1.343e-25,5,-6.906e+02,1.395e+03,1.425e+03,4.807e+02,484,490
NCT01128894,NCT01128894,f6,1.979e-01,1.930e-01,9.261e-01,3.973e+01,1.513e-36,5,-1.086e+03,2.185e+03,2.218e+03,6.905e+02,805,811
NCT01733758,NCT01733758,f6,5.911e-01,5.817e-01,5.638e-01,6.281e+01,1.458e-85,11,-4.084e+02,8.428e+02,8.973e+02,1.519e+02,478,490
NCT02229227,NCT02229227,f6,1.202e-01,1.147e-01,7.753e-01,2.202e+01,1.028e-20,5,-9.425e+02,1.899e+03,1.932e+03,4.844e+02,806,812
NCT02465515,NCT02465515,f6,3.326e-01,3.322e-01,1.269e+00,8.809e+02,0.000e+00,5,-1.465e+04,2.931e+04,2.936e+04,1.422e+04,8837,8843
NCT00838903,NCT00838903,f7,1.445e-01,1.352e-01,1.181e+00,1.548e+01,3.334e-28,11,-1.611e+03,3.249e+03,3.313e+03,1.407e+03,1008,1020
NCT00838916,NCT00838916,f7,1.329e-01,1.271e-01,1.007e+00,2.284e+01,2.272e-21,5,-1.068e+03,2.150e+03,2.182e+03,7.554e+02,745,751
NCT00839527,NCT00839527,f7,2.493e-01,2.401e-01,9.855e-01,2.719e+01,1.574e-36,8,-9.279e+02,1.876e+03,1.921e+03,6.361e+02,655,664
NCT00849017,NCT00849017,f7,1.826e-01,1.602e-01,9.902e-01,8.153e+00,5.942e-10,8,-4.196e+02,8.591e+02,8.962e+02,2.863e+02,292,301
NCT00849056,NCT00849056,f7,2.259e-01,2.128e-01,8.770e-01,1.728e+01,5.285e-15,5,-3.859e+02,7.857e+02,8.117e+02,2.277e+02,296,302
NCT00976391,NCT00976391,f7,2.225e-01,2.156e-01,9.440e-01,3.261e+01,2.802e-29,5,-7.811e+02,1.576e+03,1.607e+03,5.079e+02,570,576
NCT01098539,NCT01098539,f7,2.161e-01,2.080e-01,1.029e+00,2.684e+01,5.350e-24,5,-7.104e+02,1.435e+03,1.464e+03,5.152e+02,487,493
NCT01128894,NCT01128894,f7,2.036e-01,1.987e-01,9.246e-01,4.136e+01,5.882e-38,5,-1.090e+03,2.193e+03,2.226e+03,6.916e+02,809,815
NCT01733758,NCT01733758,f7,5.828e-01,5.731e-01,5.695e-01,6.069e+01,1.703e-83,11,-4.133e+02,8.527e+02,9.072e+02,1.550e+02,478,490
NCT02229227,NCT02229227,f7,1.178e-01,1.123e-01,7.763e-01,2.153e+01,2.927e-20,5,-9.436e+02,1.901e+03,1.934e+03,4.857e+02,806,812
NCT02465515,NCT02465515,f7,3.215e-01,3.211e-01,1.279e+00,8.376e+02,0.000e+00,5,-1.473e+04,2.946e+04,2.951e+04,1.446e+04,8839,8845
