nct_id,nct_id2,models,term,estimate,std.error,statistic,p.value
NCT01098539,NCT01098539,b1,sex,-1.08,0.847,-1.276,2.026e-01
NCT01098539,NCT01098539,b1,age10,-0.174,0.094,-1.857,6.394e-02
NCT01098539,NCT01098539,b1,arm_f_2_uaa10566,-0.331,0.929,-0.357,7.213e-01
NCT01098539,NCT01098539,b1,sex:age10,0.161,0.132,1.219,2.233e-01
NCT01098539,NCT01098539,b1,sex:arm_f_2_uaa10566,1.176,1.251,0.941,3.474e-01
NCT01098539,NCT01098539,b1,age10:arm_f_2_uaa10566,0.028,0.148,0.193,8.474e-01
NCT01098539,NCT01098539,b1,sex:age10:arm_f_2_uaa10566,-0.171,0.196,-0.872,3.835e-01
NCT01128894,NCT01128894,b1,(Intercept),8.972,0.362,24.756,5.098e-101
NCT01128894,NCT01128894,b1,sex,0.226,0.478,0.474,6.356e-01
NCT01128894,NCT01128894,b1,age10,-0.145,0.064,-2.284,2.265e-02
NCT01128894,NCT01128894,b1,arm_f_2_uaa10601,-0.302,0.485,-0.621,5.347e-01
NCT01128894,NCT01128894,b1,sex:age10,-0.039,0.084,-0.459,6.462e-01
NCT01128894,NCT01128894,b1,sex:arm_f_2_uaa10601,0.411,0.666,0.617,5.377e-01
NCT01128894,NCT01128894,b1,age10:arm_f_2_uaa10601,0.055,0.086,0.64,5.221e-01
NCT01128894,NCT01128894,b1,sex:age10:arm_f_2_uaa10601,-0.069,0.118,-0.59,5.553e-01
NCT01733758,NCT01733758,b1,(Intercept),10.61,0.781,13.581,9.744e-36
NCT01733758,NCT01733758,b1,sex,-2.02,0.975,-2.072,3.881e-02
NCT01733758,NCT01733758,b1,age10,-0.428,0.129,-3.316,9.820e-04
NCT01733758,NCT01733758,b1,arm_f_2_uaa10899,-1.968,1.177,-1.672,9.515e-02
NCT01733758,NCT01733758,b1,arm_f_2_uaa10900,-1.536,1.094,-1.404,1.609e-01
NCT01733758,NCT01733758,b1,arm_f_2_uaa10901,-4.87,1.47,-3.312,9.958e-04
NCT01733758,NCT01733758,b1,sex:age10,0.352,0.164,2.144,3.253e-02
NCT01733758,NCT01733758,b1,sex:arm_f_2_uaa10899,2.08,1.4,1.485,1.381e-01
NCT01733758,NCT01733758,b1,sex:arm_f_2_uaa10900,1.786,1.324,1.349,1.779e-01
NCT01733758,NCT01733758,b1,sex:arm_f_2_uaa10901,5.216,1.66,3.142,1.781e-03
NCT01733758,NCT01733758,b1,age10:arm_f_2_uaa10899,0.294,0.19,1.552,1.213e-01
NCT01733758,NCT01733758,b1,age10:arm_f_2_uaa10900,0.283,0.181,1.561,1.191e-01
NCT01733758,NCT01733758,b1,age10:arm_f_2_uaa10901,0.833,0.247,3.378,7.896e-04
NCT01733758,NCT01733758,b1,sex:age10:arm_f_2_uaa10899,-0.315,0.23,-1.37,1.714e-01
NCT01733758,NCT01733758,b1,sex:age10:arm_f_2_uaa10900,-0.332,0.223,-1.493,1.362e-01
NCT01733758,NCT01733758,b1,sex:age10:arm_f_2_uaa10901,-0.909,0.28,-3.249,1.239e-03
NCT02229227,NCT02229227,b1,(Intercept),7.627,0.254,30.083,6.939e-134
NCT02229227,NCT02229227,b1,sex,0.523,0.38,1.375,1.695e-01
NCT02229227,NCT02229227,b1,age10,0.026,0.043,0.607,5.440e-01
NCT02229227,NCT02229227,b1,arm_f_2_uaa11080,0.381,0.353,1.079,2.807e-01
NCT02229227,NCT02229227,b1,sex:age10,-0.092,0.065,-1.423,1.550e-01
NCT02229227,NCT02229227,b1,sex:arm_f_2_uaa11080,-0.423,0.55,-0.769,4.423e-01
NCT02229227,NCT02229227,b1,age10:arm_f_2_uaa11080,-0.058,0.06,-0.956,3.393e-01
NCT02229227,NCT02229227,b1,sex:age10:arm_f_2_uaa11080,0.072,0.093,0.777,4.375e-01
NCT02465515,NCT02465515,b1,(Intercept),11.321,0.298,38.039,3.073e-294
NCT02465515,NCT02465515,b1,sex,-0.894,0.358,-2.501,1.240e-02
NCT02465515,NCT02465515,b1,age10,-0.392,0.046,-8.53,1.688e-17
NCT02465515,NCT02465515,b1,arm_f_2_uaa11138,-0.156,0.421,-0.37,7.116e-01
NCT02465515,NCT02465515,b1,sex:age10,0.082,0.055,1.487,1.372e-01
NCT02465515,NCT02465515,b1,sex:arm_f_2_uaa11138,-0.391,0.504,-0.776,4.375e-01
NCT02465515,NCT02465515,b1,age10:arm_f_2_uaa11138,-0.076,0.065,-1.162,2.454e-01
NCT02465515,NCT02465515,b1,sex:age10:arm_f_2_uaa11138,0.081,0.078,1.039,2.988e-01
NCT00838903,NCT00838903,f1,(Intercept),3.658,0.387,9.463,2.010e-20
NCT00838903,NCT00838903,f1,value_1,0.531,0.045,11.818,2.750e-30
NCT00838903,NCT00838903,f1,arm_f_2_uaa10381,-0.573,0.135,-4.256,2.278e-05
NCT00838903,NCT00838903,f1,arm_f_2_uaa10382,-0.321,0.134,-2.389,1.710e-02
NCT00838903,NCT00838903,f1,arm_f_2_uaa10384,-0.299,0.135,-2.216,2.693e-02
NCT00838916,NCT00838916,f1,(Intercept),3.838,0.351,10.923,7.153e-26
NCT00838916,NCT00838916,f1,value_1,0.436,0.041,10.598,1.520e-24
NCT00838916,NCT00838916,f1,arm_f_2_uaa10386,0.08,0.078,1.017,3.094e-01
NCT00839527,NCT00839527,f1,(Intercept),3.427,0.383,8.949,3.597e-18
NCT00839527,NCT00839527,f1,value_1,0.578,0.045,12.822,9.163e-34
NCT00839527,NCT00839527,f1,arm_f_2_uaa10389,-0.629,0.11,-5.728,1.549e-08
NCT00839527,NCT00839527,f1,arm_f_2_uaa10390,-0.755,0.109,-6.905,1.182e-11
NCT00849017,NCT00849017,f1,(Intercept),3.699,0.531,6.968,2.085e-11
NCT00849017,NCT00849017,f1,value_1,0.473,0.065,7.334,2.136e-12
NCT00849017,NCT00849017,f1,arm_f_2_uaa10393,-0.264,0.141,-1.878,6.138e-02
NCT00849017,NCT00849017,f1,arm_f_2_uaa10394,-0.297,0.14,-2.126,3.436e-02
NCT00849056,NCT00849056,f1,(Intercept),4.78,0.48,9.953,2.400e-20
NCT00849056,NCT00849056,f1,value_1,0.365,0.058,6.244,1.462e-09
NCT00849056,NCT00849056,f1,arm_f_2_uaa10397,-0.67,0.101,-6.65,1.396e-10
NCT00976391,NCT00976391,f1,(Intercept),3.068,0.376,8.168,2.008e-15
NCT00976391,NCT00976391,f1,value_1,0.545,0.044,12.443,1.252e-31
NCT00976391,NCT00976391,f1,arm_f_2_uaa10467,-0.142,0.079,-1.805,7.166e-02
NCT01098539,NCT01098539,f1,(Intercept),3.202,0.464,6.893,1.687e-11
NCT01098539,NCT01098539,f1,value_1,0.554,0.056,9.841,5.661e-21
NCT01098539,NCT01098539,f1,arm_f_2_uaa10566,-0.368,0.094,-3.917,1.023e-04
NCT01128894,NCT01128894,f1,(Intercept),2.964,0.317,9.342,8.855e-20
NCT01128894,NCT01128894,f1,value_1,0.516,0.038,13.409,3.534e-37
NCT01128894,NCT01128894,f1,arm_f_2_uaa10601,0.179,0.065,2.747,6.154e-03
NCT01733758,NCT01733758,f1,(Intercept),3.865,0.272,14.228,1.215e-38
NCT01733758,NCT01733758,f1,value_1,0.54,0.032,16.642,1.596e-49
NCT01733758,NCT01733758,f1,arm_f_2_uaa10899,-1.237,0.079,-15.574,1.224e-44
NCT01733758,NCT01733758,f1,arm_f_2_uaa10900,-1.43,0.08,-17.818,5.319e-55
NCT01733758,NCT01733758,f1,arm_f_2_uaa10901,-1.366,0.086,-15.843,7.360e-46
NCT02229227,NCT02229227,f1,(Intercept),3.326,0.348,9.553,1.451e-20
NCT02229227,NCT02229227,f1,value_1,0.426,0.045,9.567,1.292e-20
NCT02229227,NCT02229227,f1,arm_f_2_uaa11080,0.059,0.055,1.067,2.863e-01
NCT02465515,NCT02465515,f1,(Intercept),3.598,0.08,45.123,0.000e+00
NCT02465515,NCT02465515,f1,value_1,0.567,0.009,62.545,0.000e+00
NCT02465515,NCT02465515,f1,arm_f_2_uaa11138,-0.115,0.028,-4.17,3.071e-05
NCT00838903,NCT00838903,f2,(Intercept),5.235,0.786,6.659,4.553e-11
NCT00838903,NCT00838903,f2,value_1,0.479,0.045,10.581,7.148e-25
NCT00838903,NCT00838903,f2,age10,-0.205,0.116,-1.763,7.828e-02
NCT00838903,NCT00838903,f2,arm_f_2_uaa10381,-0.516,0.758,-0.68,4.965e-01
NCT00838903,NCT00838903,f2,arm_f_2_uaa10382,0.36,0.758,0.475,6.347e-01
NCT00838903,NCT00838903,f2,arm_f_2_uaa10384,-0.234,0.761,-0.307,7.586e-01
NCT00838903,NCT00838903,f2,age10:arm_f_2_uaa10381,-0.018,0.134,-0.138,8.904e-01
NCT00838903,NCT00838903,f2,age10:arm_f_2_uaa10382,-0.132,0.134,-0.987,3.240e-01
NCT00838903,NCT00838903,f2,age10:arm_f_2_uaa10384,-0.019,0.135,-0.141,8.876e-01
NCT00838916,NCT00838916,f2,(Intercept),3.919,0.529,7.407,3.540e-13
NCT00838916,NCT00838916,f2,value_1,0.42,0.041,10.126,1.169e-22
NCT00838916,NCT00838916,f2,age10,0.009,0.066,0.13,8.970e-01
NCT00838916,NCT00838916,f2,arm_f_2_uaa10386,1.138,0.457,2.493,1.290e-02
NCT00838916,NCT00838916,f2,age10:arm_f_2_uaa10386,-0.189,0.082,-2.31,2.115e-02
NCT00839527,NCT00839527,f2,(Intercept),5.494,0.672,8.173,1.565e-15
NCT00839527,NCT00839527,f2,value_1,0.547,0.045,12.173,7.157e-31
NCT00839527,NCT00839527,f2,age10,-0.325,0.095,-3.419,6.671e-04
NCT00839527,NCT00839527,f2,arm_f_2_uaa10389,-1.296,0.639,-2.028,4.295e-02
NCT00839527,NCT00839527,f2,arm_f_2_uaa10390,-2.024,0.641,-3.157,1.666e-03
NCT00839527,NCT00839527,f2,age10:arm_f_2_uaa10389,0.116,0.114,1.018,3.089e-01
NCT00839527,NCT00839527,f2,age10:arm_f_2_uaa10390,0.227,0.113,2,4.595e-02
NCT00849017,NCT00849017,f2,(Intercept),4.388,0.754,5.816,1.590e-08
NCT00849017,NCT00849017,f2,value_1,0.435,0.066,6.556,2.518e-10
NCT00849017,NCT00849017,f2,age10,-0.075,0.087,-0.863,3.886e-01
NCT00849017,NCT00849017,f2,arm_f_2_uaa10393,-0.461,0.655,-0.703,4.828e-01
NCT00849017,NCT00849017,f2,arm_f_2_uaa10394,0.158,0.688,0.229,8.188e-01
NCT00849017,NCT00849017,f2,age10:arm_f_2_uaa10393,0.04,0.122,0.328,7.433e-01
NCT00849017,NCT00849017,f2,age10:arm_f_2_uaa10394,-0.081,0.126,-0.646,5.191e-01
NCT00849056,NCT00849056,f2,(Intercept),5.625,0.659,8.539,7.230e-16
NCT00849056,NCT00849056,f2,value_1,0.35,0.059,5.933,8.305e-09
NCT00849056,NCT00849056,f2,age10,-0.132,0.076,-1.741,8.266e-02
NCT00849056,NCT00849056,f2,arm_f_2_uaa10397,-0.973,0.584,-1.666,9.680e-02
NCT00849056,NCT00849056,f2,age10:arm_f_2_uaa10397,0.056,0.105,0.532,5.954e-01
NCT00976391,NCT00976391,f2,(Intercept),3.743,0.56,6.684,5.644e-11
NCT00976391,NCT00976391,f2,value_1,0.519,0.045,11.553,7.720e-28
NCT00976391,NCT00976391,f2,age10,-0.084,0.064,-1.311,1.906e-01
NCT00976391,NCT00976391,f2,arm_f_2_uaa10467,-0.106,0.5,-0.213,8.316e-01
NCT00976391,NCT00976391,f2,age10:arm_f_2_uaa10467,-0.006,0.089,-0.064,9.491e-01
NCT01098539,NCT01098539,f2,(Intercept),2.601,0.661,3.933,9.602e-05
NCT01098539,NCT01098539,f2,value_1,0.596,0.055,10.882,7.942e-25
NCT01098539,NCT01098539,f2,age10,0.035,0.071,0.497,6.197e-01
NCT01098539,NCT01098539,f2,arm_f_2_uaa10566,0.383,0.665,0.575,5.654e-01
NCT01098539,NCT01098539,f2,age10:arm_f_2_uaa10566,-0.113,0.104,-1.088,2.773e-01
NCT01128894,NCT01128894,f2,(Intercept),3.415,0.442,7.731,3.168e-14
NCT01128894,NCT01128894,f2,value_1,0.491,0.039,12.568,3.284e-33
NCT01128894,NCT01128894,f2,age10,-0.045,0.047,-0.975,3.300e-01
NCT01128894,NCT01128894,f2,arm_f_2_uaa10601,0.802,0.367,2.186,2.910e-02
NCT01128894,NCT01128894,f2,age10:arm_f_2_uaa10601,-0.113,0.065,-1.741,8.202e-02
NCT01733758,NCT01733758,f2,(Intercept),4.804,0.454,10.585,1.111e-23
NCT01733758,NCT01733758,f2,value_1,0.52,0.033,15.968,2.313e-46
NCT01733758,NCT01733758,f2,age10,-0.136,0.058,-2.34,1.970e-02
NCT01733758,NCT01733758,f2,arm_f_2_uaa10899,-1.656,0.452,-3.667,2.731e-04
